국문제품명,영문제품명,관리번호,작성일자,제품코드,성상,포장단위,작성자,사용법,Allergen국문,Allergen영문,저장방법,사용기한,원본파일
에바스 나뚜리아 크리미 오일 솔트 스크럽-밀크 미,EVAS Naturia Creamy Oil Salt Scrub-Milk Me,EVCO-1012,2020.03.02,NPSS001,알갱이가 있는 옅은 갈색 페이스트상,250 g,신 혜 정,바디워시 사용 후 적당량을 덜어 전신을 마사지하듯 부드럽게 문질러 준 후 미온수로 개끗하게 씻어냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 2년,제품표준서_EVCO1012_(NPSS001)-에바스 나뚜리아 크리미 오일 솔트 스크럽-밀크 미.xls
에바스 나뚜리아 크리미 오일 솔트 스크럽-쏘 바닐라,EVAS Naturia Creamy Oil Salt Scrub-So Vanilla,EVCO-1013,2020.03.02,NPSS002,알갱이가 있는 황색 페이스트상,250 g,신 혜 정,바디워시 사용 후 적당량을 덜어 전신을 마사지하듯 부드럽게 문질러 준 후 미온수로 개끗하게 씻어냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 2년,제품표준서_EVCO1013_(NPSS002)-에바스 나뚜리아 크리미 오일 솔트 스크럽-쏘 바닐라.xls
에바스 나뚜리아 크리미 오일 솔트 스크럽-초코 라떼,EVAS Naturia Creamy Oil Salt Scrub-Choco Latte,EVCO-1014,2020.03.02,NPSS003,알갱이가 있는 갈색 페이스트상,250 g,신 혜 정,바디워시 사용 후 적당량을 덜어 전신을 마사지하듯 부드럽게 문질러 준 후 미온수로 개끗하게 씻어냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 2년,제품표준서_EVCO1014_(NPSS003)-에바스 나뚜리아 크리미 오일 솔트 스크럽-초코 라떼.xls
에바스 나뚜리아 크리미 오일 솔트 스크럽-그린 티,EVAS Naturia Creamy Oil Salt Scrub-Green Tea,EVCO-1015,2020.03.02,NPSS004,알갱이가 있는 녹색 페이스트상,250 g,신 혜 정,바디워시 사용 후 적당량을 덜어 전신을 마사지하듯 부드럽게 문질러 준 후 미온수로 개끗하게 씻어냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 2년,제품표준서_EVCO1015_(NPSS004)-에바스 나뚜리아 크리미 오일 솔트 스크럽-그린 티.xls
제이온 젠틀 포어 스크럽,J:ON Baking Soda Gentle Pore Scrub,EVCO-1016,2019.11.26,JOSC001,작은 알갱이가 있는 백색 점액상,"50g, 5g x 20ea",신 혜 정,물기 있는 얼굴에 눈가 및 입가를 피해 도포한 후 마사지하듯 부드럽게 문지른 후 미온수로 충분히 씻어냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1016_(JOSC001)-제이온 젠틀 포어 스크럽.xls
제이온 젠틀 포어 스크럽,J:ON Baking Soda Gentle Pore Scrub,EVCO-1016,2019.11.26,JOSCP01,작은 알갱이가 있는 백색 점액상,"50g, 5g x 20ea",신 혜 정,물기 있는 얼굴에 눈가 및 입가를 피해 도포한 후 마사지하듯 부드럽게 문지른 후 미온수로 충분히 씻어냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1016_(JOSC001)-제이온 젠틀 포어 스크럽.xls
제이온 콜라겐 젠틀 폼 클렌징,J:ON Collagen Gentle Foam Cleansing,EVCO-1017,2019.11.28,JOFC002,백색 크림상,100 mL,신 혜 정,"적당히 물기 있는 손에 덜어 충분히 거품을 낸 뒤, 얼굴에 마사지하듯 부드럽게 문질러 줍니다. 미온수로 헹궈 마무리합니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1017_(JOFC002)-제이온 콜라겐 젠틀 폼 클렌징.xls
제이온 스네일 젠틀 폼 클렌징,J:ON Snail Gentle Foam Cleansing,EVCO-1018,2019.11.28,JOFC003,백색 크림상,100 mL,신 혜 정,"적당히 물기 있는 손에 덜어 충분히 거품을 낸 뒤, 얼굴에 마사지하듯 부드럽게 문질러 줍니다. 미온수로 헹궈 마무리합니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1018_(JOFC003)-제이온 스네일 젠틀 폼 클렌징.xls
제이온 콜라겐 데일리 핸드크림,J:ON Collagen Daily Hand Cream,EVCO-1019,2019.11.28,JOHC002,백색 크림상,100 mL,신 혜 정,손을 씻은 후나 건조할 때마다 적당량을 덜어 부드럽게 펴 발라 흡수시켜 주세요.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1019_(JOHC002)-제이온 콜라겐 데일리 핸드크림.xls
제이온 스네일 데일리 핸드크림,J:ON Snail Daily Hand Cream,EVCO-1020,2019.11.28,JOHC003,백색 크림상,100 mL,신 혜 정,손을 씻은 후나 건조할 때마다 적당량을 덜어 부드럽게 펴 발라 흡수시켜 주세요.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1020_(JOHC003)-제이온 스네일 데일리 핸드크림.xls
제이온 스네일 데일리 풋크림,J:ON Snail Daily Foot Cream,EVCO-1021,2019.11.28,JOFT003,백색 크림상,100 mL,신 혜 정,"적당략을 손바닥에 덜어 발 전체에 골고루 펴 바릅니다. 특히, 건조함이 심한 발뒤꿈치 같은 부위에 집중적으로 발라 주면 더욱 효과적이며 매일 사용하면 피부를 부드럽게 하는데 도움이 됩니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1021_(JOFT003)-제이온 스네일 데일리 풋크림.xls
페디슨 뉴트리티브 인퓨전 모이스처 로션,PEDISON Nutritive Infusion Moisture Lotion,EVCO-1022,2019.12.09,PDML001,백색 크림상,500 mL,신 혜 정,물기가 없는 피부에 골고루 도포 후 부드럽게 롤링하여 흡수시켜 줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1022_(PDML001)-페디슨 뉴트리티브 인퓨전 모이스처 로션.xls
바스파 아로마 라운지 로얄허니 바디 워시,BATHPA Aroma Lounge Royal Honey Body Wash,EVCO-1023,2019.12.14,BTBC003,무색 투명 점액상,300 mL,신 혜 정,적당량을 샤워용 스펀지나 타올에 묻혀 거품을 낸 다음 전신에 마사지하듯 고루 문지른 후 물로 깨끗이 씻어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1023_(BTBC003)-바스파 아로마 라운지 로얄허니 바디 워시.xls
바스파 아로마 라운지 로얄허니 바디 에멀젼,BATHPA Aroma Lounge Royal Honey Body Emulsion,EVCO-1024,2019.12.14,BTBL003,백색 로션상,300 mL,신 혜 정,샤워 후 적당량을 덜어 전신에 마사지 하듯이 부드럽게 펴 발라줍니다. 취침 전이나 건조할 때 마다 수시로 바르면 더욱 효과적 입니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1024_(BTBL003)-바스파 아로마 라운지 로얄허니 바디 에멀젼.xls
"미미로린스 모먼트 플랜트 핸드크림-헤이, 그린","Mimi Lauryne's Moment Plant Hand Cream-Hey, Green",EVCO-1025,2019.12.30,MLHC006,녹색의 크림상,500 mL,신 혜 정,"손을 씻은 후 , 건조함이 느껴질 때마다 적당량을 덜어 부드럽게 롤링하면서 흡수시켜줍니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,"제품표준서_EVCO1025_(MLHC006)-미미로린스 모먼트 플랜트 핸드크림-헤이, 그린.xls"
미미로린스 모먼트 플랜트 핸드크림-베리 비트,Mimi Lauryne's Moment Plant Hand Cream-Berry Beet,EVCO-1026,2019.12.30,MLHC007,분홍색의 크림상,500 mL,신 혜 정,"손을 씻은 후 , 건조함이 느껴질 때마다 적당량을 덜어 부드럽게 롤링하면서 흡수시켜줍니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1026_(MLHC007)-미미로린스 모먼트 플랜트 핸드크림-베리 비트.xls
미미로린스 모먼트 플랜트 핸드크림-해피 텐져린,Mimi Lauryne's Moment Plant Hand Cream-Happy Tangerine,EVCO-1027,2019.12.30,MLHC008,황색의 크림상,500 mL,신 혜 정,"손을 씻은 후 , 건조함이 느껴질 때마다 적당량을 덜어 부드럽게 롤링하면서 흡수시켜줍니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1027_(MLHC008)-미미로린스 모먼트 플랜트 핸드크림-해피 텐져린.xls
판테스틱 더마 시카 파우더,PANTHESTIC Derma Cica Powder,EVCO-1028,2020.01.06,PTPW001,백색의 가루,7 g,신 혜 정,기초 마무리 단계에서 내용물을 덜어내어 고민 부위를 중심으로 얹어줍니다. 기초 제품과 섞어 피부에 흡수시켜줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년(개봉후 12개월),제품표준서_EVCO1028_(PTPW001)-판테스틱 더마 시카 파우더.xls
판테스틱 더마 비타 파우더,PANTHESTIC Derma Vita Powder,EVCO-1029,2020.01.06,PTPW002,백색의 가루,7 g,신 혜 정,기초 마무리 단계에서 내용물을 덜어내어 고민 부위를 중심으로 얹어줍니다. 기초 제품과 섞어 피부에 흡수시켜줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년(개봉후 12개월),제품표준서_EVCO1029_(PTPW002)-판테스틱 더마 비타 파우더.xls
미미로린스 모먼트 핸드크림-뮤즈,Mimi Laurynes Moment Hand Cream-Muse,EVCO-1030,2020.03.10,MLHC014,백색의 크림상,60 mL,신 혜 정,적당량을 덜어 손에 부드럽게 도포 후 충분히 흡수시켜줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1030_(MLHC014)-미미로린스 모먼트 핸드크림-뮤즈.xls
미미로린스 모먼트 핸드크림-멜리플루어스,Mimi Laurynes Moment Hand Cream-Mellifluous,EVCO-1031,2020.03.10,MLHC015,백색의 크림상,60 mL,신 혜 정,적당량을 덜어 손에 부드럽게 도포 후 충분히 흡수시켜줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1031_(MLHC015)-미미로린스 모먼트 핸드크림-멜리플루어스.xls
미미로린스 모먼트 핸드크림-스칼렛,Mimi Laurynes Moment Hand Cream-Scarlet,EVCO-1032,2020.03.10,MLHC016,백색의 크림상,60 mL,신 혜 정,적당량을 덜어 손에 부드럽게 도포 후 충분히 흡수시켜줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1032_(MLHC016)-미미로린스 모먼트 핸드크림-스칼렛.xls
미미로린스 모먼트 핸드크림-가드니아,Mimi Laurynes Moment Hand Cream-Gardenia,EVCO-1033,2020.03.10,MLHC017,백색의 크림상,60 mL,신 혜 정,적당량을 덜어 손에 부드럽게 도포 후 충분히 흡수시켜줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1033_(MLHC017)-미미로린스 모먼트 핸드크림-가드니아.xls
판테스틱 더마 시카 아크네 클렌징 폼,PANTHESTIC Derma Cica Acne Cleansing Foam,EVCO-1034,2020.05.25,PTFC001,백색의 크림상,140 mL,신 혜 정,적당량의 내용물을 취해 충분히 거품을 낸 후 얼굴을 마사지 하듯 미온수로 충분히 헹구어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1034_(PTFC001)-판테스틱 더마 시카 아크네 클렌징 폼.xls
밸르모나 얼쓰 테라피 스칼프 스켈러,VALMONA Earth Therapy Scalp Scaler,EVCO-1035,2020.04.06,VMSS001,녹색의 점액상,15ml,신 혜 정,주 1~2회 샴푸 마지막 단계에서 젖은 두피에 고르게 도포하여 손 끝을 이용해 2분간 가볍게 마사지 후 미온수로 클렌징 해줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1035_(VMSS001)-밸르모나 얼쓰 테라피 스칼프 스켈러.xls
밸르모나 얼쓰 리페어 본딩 앰플,VALMONA Earth Repair Bonding Ampoule,EVCO-1036,2020.04.07,VMBA001,백색의 로션상,15 mL,신 혜 정,"타올 드라이 후, 모발 끝부터 시작하여 손상된 모발에 고르게 도포합니다. 헹구어내지 않는 리브인타입의 앰플입니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1036_(VMBA001 )-밸르모나 얼쓰 리페어 본딩 앰플.xls
밸르모나 얼쓰 테라피 스칼프 퓨리파이어,VALMONA Earth Therapy Scalp Purifier,EVCO-1037,2020.04.01,VMSF001,황색의 투명 점액상,25 mL,신 혜 정,샴푸 후 씻어낼 필요 없이 젖은 두피에 고르게 도포하고 손가락 끝으로 가볍게 두드리듯 마사지하여 흡수시켜 줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1037_(VMSF001)-밸르모나 얼쓰 테라피 스칼프 퓨리파이어.xls
보르도 민트 쿨링 풋 데오드란트,BORDO Mint Cooling Foot Deodorant,EVCO-1038,2020.04.08,BDFD001,유백색 액상,80 ml,신 혜 정,사용 전 충분히 흔들어 20cm 정도 떨어진 곳에서 분사합니다. 발을 씻은 후 물기를 제거하고 뿌려주세요. 땀과 냄새가 신경쓰일 때 수시로 뿌려주세요.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1038_(BDFD001)-보르도 민트 쿨링 풋 데오드란트.xls
판테스틱 원더필 하이드라 뮤신 이펙터,PANTHESTIC Wonderfill Hydra Mucin Effector,EVCO-1039,2020.04.20,PTEF001,무색 투명 점액상,35 mL,신 혜 정,어플리케이터를 이용해 본 품 적당량을 취한 뒤 피부에 골고루 펴 발라줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년(개봉 후 6개월),제품표준서_EVCO1039_(PTEF001)-판테스틱 원더필 하이드라 뮤신 이펙터.xls
판테스틱 원더필 써마필 이펙터,PANTHESTIC Wonderfill Thermapill Effector,EVCO-1040,2020.04.20,PTEF002,붉은색 투명 점액상,35 mL,신 혜 정,어플리케이터를 이용해 본 품 적당량을 취한 뒤 피부에 골고루 펴 발라줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년(개봉 후 6개월),제품표준서_EVCO1040_(PTEF002)-판테스틱 원더필 써마필 이펙터.xls
판테스틱 원더필 클리어링 이펙터,PANTHESTIC Wonderfill Clearing Effector,EVCO-1041,2020.04.20,PTEF003,미색 투명 액상,35 mL,신 혜 정,어플리케이터를 이용해 본 품 적당량을 취한 뒤 피부에 골고루 펴 발라줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년(개봉 후 6개월),제품표준서_EVCO1041_(PTEF003)-판테스틱 원더필 클리어링 이펙터.xls
바스파 아로마 라운지 무드 퍼퓸 드레스 미스트,BATHPA Aroma Lounge Mood Perfume Dress Mist No1. Cosy Wood,EVCO-1042,2020.05.11,BTMD001,무색 투명 액상,300 mL,신 혜 정,"탈취가 필요한 섬유나 침구, 옷장, 자동차 안 등 다양한 공간에 가볍게 분사해주세요.",,,제조일로부터 3년 (제조일자 표기),별첨.4,제품표준서_EVCO1042_(BTDM001)-바스파 아로마 라운지 무드 퍼퓸 드레스 미스트.xls
이즈리프 퓨어 페미닌 버블 클렌져-그린티,isLeaf Pure Feminine Bubble Cleanser-Green Tea,EVCO-1043,2020.05.12,ILWS003,무색 투명 액상,250 mL,신 혜 정,적당량을 손에 덜어 충분히 마사지하듯 문질러 준 다음 물로 깨끗이 헹구어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1043_(ILWS003)-이즈리프 퓨어 페미닌 버블 클렌져-그린티.xls
이즈리프 퓨어 페미닌 버블 클렌져-비쥬,isLeaf Pure Feminine Bubble Cleanser-Bijou,EVCO-1044,2020.05.12,ILWS004,무색 투명 액상,250 mL,신 혜 정,적당량을 손에 덜어 충분히 마사지하듯 문질러 준 다음 물로 깨끗이 헹구어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1044_(ILWS004)-이즈리프 퓨어 페미닌 버블 클렌져-비쥬.xls
이즈리프 퓨어 이너 퍼퓸 미스트-그린티,isLeaf Pure Inner Perfume Mist-Green Tea,EVCO-1045,2020.05.12,ILMT003,무색 투명 액상,50 mL,신 혜 정,여성의 Y존에 보습과 냄새 케어가 필요할 때 수시로 뿌려서 사용합니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1045_(ILMT003)-이즈리프 퓨어 이너 퍼퓸 미스트-그린티.xls
이즈리프 퓨어 이너 퍼퓸 미스트-비쥬,isLeaf Pure Inner Perfume Mist-Bijou,EVCO-1046,2020.05.12,ILMT004,무색 투명 액상,50 mL,신 혜 정,여성의 Y존에 보습과 냄새 케어가 필요할 때 수시로 뿌려서 사용합니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1046_(ILMT004)-이즈리프 퓨어 이너 퍼퓸 미스트-비쥬.xls
밸르모나 얼쓰 리페어 본딩 오일,VALMONA Earth Repair Bonding Oil,EVCO-1047,2020.05.20,VMOL001,옅은 분홍색의 오일상,30 mL,신 혜 정,샴푸 후 물기가 약간 남아있는 상태에서 모발의 끝부터 시작하여 손상된 모발 전체에 고르게 도포해 흡수시켜 줍니다. 건조된 모발에 한번 더 가볍게 발라주면 윤기와 광택효과를 더 높여 줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1047_(VMOL001)-밸르모나 얼쓰 리페어 본딩 오일.xls
밸르모나 얼쓰 리페어 본딩 컴파운드,VALMONA Earth Repair Bonding Compound,EVCO-1048,2020.05.20,VMCP001,옅은 분홍색의 액상,40 mL,신 혜 정,"샴푸 후 젖은 모발에 고르게 도포한 후, 부드럽게 마사지 하고 3~5분 방치한 후 미온수로 헹궈냅니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1048_(VMCP001)-밸르모나 얼쓰 리페어 본딩 컴파운드.xls
판테스틱 더마 시카 아크네 클렌저,PANTHESTIC Derma Cica Acne Cleanser,EVCO-1049,2020.05.20,PTBC002,미황색 투명 액상,500 mL,신 혜 정,적당량을 덜어 거품을 낸 뒤 얼굴 및 기타 부위에 사용 후 깨끗이 씻어냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1049_(PTBC002)-판테스틱 더마 시카 아크네 클렌저.xls
미미로린스 모먼트 오디너리 퍼퓸,Mimi Laurynes Moment Ordinary Perfume,EVCO-1050,2020.06.23,MLPF001,무색~미색의 투명 액상,20 mL,신 혜 정,"맥박이 뛰는 곳, 체온이 높은 신체 부위에 2~3회 가량 분사해주세요.",,,20 mL,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1050_(MLPF001~005)-미미로린스 모먼트 오디너리 퍼퓸.xls
미미로린스 모먼트 오디너리 퍼퓸,Mimi Laurynes Moment Ordinary Perfume,EVCO-1050,2020.06.23,MLPF002,무색~미색의 투명 액상,20 mL,신 혜 정,"맥박이 뛰는 곳, 체온이 높은 신체 부위에 2~3회 가량 분사해주세요.",,,20 mL,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1050_(MLPF001~005)-미미로린스 모먼트 오디너리 퍼퓸.xls
