국문제품명,영문제품명,관리번호,작성일자,제품코드,성상,포장단위,작성자,사용법,Allergen국문,Allergen영문,저장방법,사용기한_x,원본파일,순번,등록일,excel_관리번호,excel_제품명국문,excel_제품명영문,"표시
용량","충진
용량
()",비중,pH기준,"점,경도기준","권장사용
나이",원료목록보고,"표준화
명칭적용",책임판매업적용,알러지물질표기,사용기한_y,재활용등급표시,문안표기대상부자재,기능성,라벨부착위치,버진라벨,대박스,입수량,비고,data_source,관리번호_일치,제품명_일치
에바스 나뚜리아 크리미 밀크 바디워시 - 쏘 바닐라,EVAS Naturia Creamy Milk Body Wash - So vanilla,EVCO-1007,2019.11.21,NPBC006,미색 불투명 점액상,750 mL,신 혜 정,적당량을 물에 적신 스폰지나 타올에 덜어 충분히 거품을 내서 전신에 골고루 마사지하듯 문지를 후 충분히 헹구어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1007_(NPBC006)-에바스 나뚜리아 크리미 밀크 바디워시 - 쏘 바닐라.xls,907,19.11.21,EVCO-1007,에바스 나뚜리아 크리미 밀크 바디워시 - 쏘 바닐라,EVAS Naturia Creamy Milk Body Wash - So vanilla,750ml,752,1.018,5.0 ± 1.0,"10,000 ± 5,000",,0,0,0,,,어려움,라벨,,,,,,,both,True,True
에바스 나뚜리아 크리미 밀크 바디워시 - 초코 라떼,EVAS Naturia Creamy Milk Body Wash - Choco latte,EVCO-1008,2019.11.21,NPBC007,갈색 불투명 점액상,750 mL,신 혜 정,적당량을 물에 적신 스폰지나 타올에 덜어 충분히 거품을 내서 전신에 골고루 마사지하듯 문지를 후 충분히 헹구어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1008_(NPBC007)-에바스 나뚜리아 크리미 밀크 바디워시 - 초코 라떼.xls,908,19.11.21,EVCO-1008,에바스 나뚜리아 크리미 밀크 바디워시 - 초코 라떼,EVAS Naturia Creamy Milk Body Wash - Choco latte,750ml,752,1.018,5.0 ± 1.0,"10,000 ± 5,000",,0,0,0,,,어려움,라벨,,,,,,,both,True,True
에바스 나뚜리아 크리미 밀크 바디워시 - 그린 티,EVAS Naturia Creamy Milk Body Wash - Green tea,EVCO-1009,2019.11.21,NPBC008,녹색 불투명 점액상,750 mL,신 혜 정,적당량을 물에 적신 스폰지나 타올에 덜어 충분히 거품을 내서 전신에 골고루 마사지하듯 문지를 후 충분히 헹구어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1009_(NPBC008)-에바스 나뚜리아 크리미 밀크 바디워시 - 그린 티.xls,909,19.11.21,EVCO-1009,에바스 나뚜리아 크리미 밀크 바디워시 - 그린 티,EVAS Naturia Creamy Milk Body Wash - Green tea,750ml,752,1.018,5.0 ± 1.0,"10,000 ± 5,000",,0,0,0,,,어려움,라벨,,,,,,,both,True,True
이즈리프 인티메이트 워시 포 맨 프레쉬(파우치),isLeaf Intimate Wash for Man Fresh,EVCO-1010,2019.11.22,ILWSP02,미황색의 투명 점액상,5 mL,신 혜 정,"펌프를 3~4회 눌러 적당량의 거품을 손바닥에 덜어 냅니다. 음경과 음낭, 사타구니, 항문을 따라 부드럽게 마사지하듯이 문지릅니다. 미온수로 잔여물이 남지 않게 헹구어 냅니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1010_(ILWSP02)-이즈리프 인티메이트 워시 포 맨 프레쉬(파우치).xls,910,19.11.22,EVCO-1010,이즈리프 인티메이트 워시 포 맨 프레쉬(파우치),isLeaf Intimate Wash for Man Fresh,5ml,5,1.024,,,,0,0,0,,,우수,파우치,,,,,,"대만 수출, 압인은 제조일",both,True,True
프레쥬 프로 모이스처 엔자임 파우더 워시,Fraijour Pro Moisture Enzyme Powder Wash,EVCO-1011,2019.11.25,FJPW000,백색의 파우더상,1g,신 혜 정,물기가 있는 손에 제품 1포를 이용하여 충분히 거품을 내어 깨끗이 세안합니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1011_(FJPW000)-프레쥬 프로 모이스처 엔자임 파우더 워시.xls,911,19.11.25,EVCO-1011,프레쥬 프로 모이스처 엔자임 파우더 워시,Fraijour Pro Moisture Enzyme Powder Wash,1g,1,none,7.0 ± 1.0,NONE,,0,0,0,,3년,,스틱파우치,,,,,,러시아수출 코드,both,True,True
에바스 나뚜리아 크리미 오일 솔트 스크럽-밀크 미,EVAS Naturia Creamy Oil Salt Scrub-Milk Me,EVCO-1012,2020.03.02,NPSS001,알갱이가 있는 옅은 갈색 페이스트상,250 g,신 혜 정,바디워시 사용 후 적당량을 덜어 전신을 마사지하듯 부드럽게 문질러 준 후 미온수로 개끗하게 씻어냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 2년,제품표준서_EVCO1012_(NPSS001)-에바스 나뚜리아 크리미 오일 솔트 스크럽-밀크 미.xls,912,20.03.10,EVCO-1012,에바스 나뚜리아 크리미 오일 솔트 스크럽-밀크 미,EVAS Naturia Creamy Oil Salt Scrub-Milk Me,250g,250,1.520,,,,,0,0,0,,우수,튜브/단상자,,,,,,,both,True,True
에바스 나뚜리아 크리미 오일 솔트 스크럽-쏘 바닐라,EVAS Naturia Creamy Oil Salt Scrub-So Vanilla,EVCO-1013,2020.03.02,NPSS002,알갱이가 있는 황색 페이스트상,250 g,신 혜 정,바디워시 사용 후 적당량을 덜어 전신을 마사지하듯 부드럽게 문질러 준 후 미온수로 개끗하게 씻어냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 2년,제품표준서_EVCO1013_(NPSS002)-에바스 나뚜리아 크리미 오일 솔트 스크럽-쏘 바닐라.xls,913,20.03.10,EVCO-1013,에바스 나뚜리아 크리미 오일 솔트 스크럽-쏘 바닐라,EVAS Naturia Creamy Oil Salt Scrub-So Vanilla,250g,250,1.520,,,,,0,0,0,,우수,튜브/단상자,,,,,,,both,True,True
에바스 나뚜리아 크리미 오일 솔트 스크럽-초코 라떼,EVAS Naturia Creamy Oil Salt Scrub-Choco Latte,EVCO-1014,2020.03.02,NPSS003,알갱이가 있는 갈색 페이스트상,250 g,신 혜 정,바디워시 사용 후 적당량을 덜어 전신을 마사지하듯 부드럽게 문질러 준 후 미온수로 개끗하게 씻어냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 2년,제품표준서_EVCO1014_(NPSS003)-에바스 나뚜리아 크리미 오일 솔트 스크럽-초코 라떼.xls,914,20.03.10,EVCO-1014,에바스 나뚜리아 크리미 오일 솔트 스크럽-초코 라떼,EVAS Naturia Creamy Oil Salt Scrub-Choco Latte,250g,250,1.520,,,,,0,0,0,,우수,튜브/단상자,,,,,,,both,True,True
에바스 나뚜리아 크리미 오일 솔트 스크럽-그린 티,EVAS Naturia Creamy Oil Salt Scrub-Green Tea,EVCO-1015,2020.03.02,NPSS004,알갱이가 있는 녹색 페이스트상,250 g,신 혜 정,바디워시 사용 후 적당량을 덜어 전신을 마사지하듯 부드럽게 문질러 준 후 미온수로 개끗하게 씻어냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 2년,제품표준서_EVCO1015_(NPSS004)-에바스 나뚜리아 크리미 오일 솔트 스크럽-그린 티.xls,915,20.03.10,EVCO-1015,에바스 나뚜리아 크리미 오일 솔트 스크럽-그린 티,EVAS Naturia Creamy Oil Salt Scrub-Green Tea,250g,250,1.520,,,,,0,0,0,,우수,튜브/단상자,,,,,,,both,True,True
제이온 젠틀 포어 스크럽,J:ON Baking Soda Gentle Pore Scrub,EVCO-1016,2019.11.26,JOSC001,작은 알갱이가 있는 백색 점액상,"50g, 5g x 20ea",신 혜 정,물기 있는 얼굴에 눈가 및 입가를 피해 도포한 후 마사지하듯 부드럽게 문지른 후 미온수로 충분히 씻어냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1016_(JOSC001)-제이온 젠틀 포어 스크럽.xls,916,19.11.27,EVCO-1016,제이온 젠틀 포어 스크럽,J:ON Baking Soda Gentle Pore Scrub,50g,50,1.520,8.2 ± 1.0,"30,000 ± 5,000",,0,0,0,0,,우수,삼각파우치/튜브/단상자,,,,,,삼각파우치 충진 : 뷰코스,both,True,True
제이온 젠틀 포어 스크럽,J:ON Baking Soda Gentle Pore Scrub,EVCO-1016,2019.11.26,JOSCP01,작은 알갱이가 있는 백색 점액상,"50g, 5g x 20ea",신 혜 정,물기 있는 얼굴에 눈가 및 입가를 피해 도포한 후 마사지하듯 부드럽게 문지른 후 미온수로 충분히 씻어냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1016_(JOSC001)-제이온 젠틀 포어 스크럽.xls,,,EVCO-1016,제이온 젠틀 포어 스크럽,J:ON Baking Soda Gentle Pore Scrub,5g*20,5,,8.2 ± 1.0,"30,000 ± 5,000",,,,,,,,,,,,,,,both,True,True
제이온 콜라겐 젠틀 폼 클렌징,J:ON Collagen Gentle Foam Cleansing,EVCO-1017,2019.11.28,JOFC002,백색 크림상,100 mL,신 혜 정,"적당히 물기 있는 손에 덜어 충분히 거품을 낸 뒤, 얼굴에 마사지하듯 부드럽게 문질러 줍니다. 미온수로 헹궈 마무리합니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1017_(JOFC002)-제이온 콜라겐 젠틀 폼 클렌징.xls,917,19.11.27,EVCO-1017,제이온 콜라겐 젠틀 폼 클렌징,J:ON Collagen Gentle Foam Cleansing,100ml,97,0.97,10.0 ± 1.0,30 ± 15,,0,0,0,0,,우수,튜브/단상자,,,,,,,both,True,True
제이온 스네일 젠틀 폼 클렌징,J:ON Snail Gentle Foam Cleansing,EVCO-1018,2019.11.28,JOFC003,백색 크림상,100 mL,신 혜 정,"적당히 물기 있는 손에 덜어 충분히 거품을 낸 뒤, 얼굴에 마사지하듯 부드럽게 문질러 줍니다. 미온수로 헹궈 마무리합니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1018_(JOFC003)-제이온 스네일 젠틀 폼 클렌징.xls,918,19.11.27,EVCO-1018,제이온 스네일 젠틀 폼 클렌징,J:ON Snail Gentle Foam Cleansing,100ml,97,0.97,10.0 ± 1.0,30 ± 15,,0,0,0,0,,우수,튜브/단상자,,,,,,,both,True,True
제이온 콜라겐 데일리 핸드크림,J:ON Collagen Daily Hand Cream,EVCO-1019,2019.11.28,JOHC002,백색 크림상,100 mL,신 혜 정,손을 씻은 후나 건조할 때마다 적당량을 덜어 부드럽게 펴 발라 흡수시켜 주세요.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1019_(JOHC002)-제이온 콜라겐 데일리 핸드크림.xls,919,19.11.27,EVCO-1019,제이온 콜라겐 데일리 핸드크림,J:ON Collagen Daily Hand Cream,100ml,98,0.978,,,,0,0,0,0,,우수,튜브/단상자,,,,,,,both,True,True
제이온 스네일 데일리 핸드크림,J:ON Snail Daily Hand Cream,EVCO-1020,2019.11.28,JOHC003,백색 크림상,100 mL,신 혜 정,손을 씻은 후나 건조할 때마다 적당량을 덜어 부드럽게 펴 발라 흡수시켜 주세요.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1020_(JOHC003)-제이온 스네일 데일리 핸드크림.xls,920,19.11.27,EVCO-1020,제이온 스네일 데일리 핸드크림,J:ON Snail Daily Hand Cream,100ml,98,0.978,,,,0,0,0,0,,우수,튜브/단상자,,,,,,,both,True,True
제이온 스네일 데일리 풋크림,J:ON Snail Daily Foot Cream,EVCO-1021,2019.11.28,JOFT003,백색 크림상,100 mL,신 혜 정,"적당략을 손바닥에 덜어 발 전체에 골고루 펴 바릅니다. 특히, 건조함이 심한 발뒤꿈치 같은 부위에 집중적으로 발라 주면 더욱 효과적이며 매일 사용하면 피부를 부드럽게 하는데 도움이 됩니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1021_(JOFT003)-제이온 스네일 데일리 풋크림.xls,921,19.11.27,EVCO-1021,제이온 스네일 데일리 풋크림,J:ON Snail Daily Foot Cream,100ml,100,0.992,,,,0,0,0,0,,우수,튜브/단상자,,,,,,,both,True,True
페디슨 뉴트리티브 인퓨전 모이스처 로션,PEDISON Nutritive Infusion Moisture Lotion,EVCO-1022,2019.12.09,PDML001,백색 크림상,500 mL,신 혜 정,물기가 없는 피부에 골고루 도포 후 부드럽게 롤링하여 흡수시켜 줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1022_(PDML001)-페디슨 뉴트리티브 인퓨전 모이스처 로션.xls,922,19.11.27,EVCO-1022,페디슨 뉴트리티브 인퓨전 모이스처 로션,PEDISON Nutritive Infusion Moisture Lotion,500ml,492,0.984,,,,0,0,0,0,,어려움,라벨,,,,,,,both,True,True
바스파 아로마 라운지 로얄허니 바디 워시,BATHPA Aroma Lounge Royal Honey Body Wash,EVCO-1023,2019.12.14,BTBC003,무색 투명 점액상,300 mL,신 혜 정,적당량을 샤워용 스펀지나 타올에 묻혀 거품을 낸 다음 전신에 마사지하듯 고루 문지른 후 물로 깨끗이 씻어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1023_(BTBC003)-바스파 아로마 라운지 로얄허니 바디 워시.xls,923,19.12.14,EVCO-1023,바스파 아로마 라운지 로얄허니 바디 워시,BATHPA Aroma Lounge Royal Honey Body Wash,300ml,306,1.018,,,,0,0,0,0,,어려움,용기인쇄/세트단상자,,,,,,,both,True,True
바스파 아로마 라운지 로얄허니 바디 에멀젼,BATHPA Aroma Lounge Royal Honey Body Emulsion,EVCO-1024,2019.12.14,BTBL003,백색 로션상,300 mL,신 혜 정,샤워 후 적당량을 덜어 전신에 마사지 하듯이 부드럽게 펴 발라줍니다. 취침 전이나 건조할 때 마다 수시로 바르면 더욱 효과적 입니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1024_(BTBL003)-바스파 아로마 라운지 로얄허니 바디 에멀젼.xls,924,19.12.14,EVCO-1024,바스파 아로마 라운지 로얄허니 바디 에멀젼,BATHPA Aroma Lounge Royal Honey Body Emulsion,300ml,296,0.958,,,,0,0,0,0,,어려움,용기인쇄/세트단상자,,,,,,,both,True,True
"미미로린스 모먼트 플랜트 핸드크림-헤이, 그린","Mimi Lauryne's Moment Plant Hand Cream-Hey, Green",EVCO-1025,2019.12.30,MLHC006,녹색의 크림상,500 mL,신 혜 정,"손을 씻은 후 , 건조함이 느껴질 때마다 적당량을 덜어 부드럽게 롤링하면서 흡수시켜줍니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,"제품표준서_EVCO1025_(MLHC006)-미미로린스 모먼트 플랜트 핸드크림-헤이, 그린.xls",925,20.01.07,EVCO-1025,미미로린스 모먼트 플랜트 핸드크림-헤이그린,"Mimi Lauryne's Moment Plant Hand Cream-Hey, Green",500ml,490,0.992,6.0 ± 1.0,"25,000 ± 5,000",,0,0,0,0,3년,어려움,라벨,,상단 2.5cm,X,,,,both,True,True
미미로린스 모먼트 플랜트 핸드크림-베리 비트,Mimi Lauryne's Moment Plant Hand Cream-Berry Beet,EVCO-1026,2019.12.30,MLHC007,분홍색의 크림상,500 mL,신 혜 정,"손을 씻은 후 , 건조함이 느껴질 때마다 적당량을 덜어 부드럽게 롤링하면서 흡수시켜줍니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1026_(MLHC007)-미미로린스 모먼트 플랜트 핸드크림-베리 비트.xls,926,20.01.07,EVCO-1026,미미로린스 모먼트 플랜트 핸드크림-베리비트,Mimi Lauryne's Moment Plant Hand Cream-Berry Beet,500ml,490,0.992,6.0 ± 1.0,"25,000 ± 5,000",,0,0,0,0,3년,어려움,라벨,,상단 2.5cm,X,,,,both,True,True
미미로린스 모먼트 플랜트 핸드크림-해피 텐져린,Mimi Lauryne's Moment Plant Hand Cream-Happy Tangerine,EVCO-1027,2019.12.30,MLHC008,황색의 크림상,500 mL,신 혜 정,"손을 씻은 후 , 건조함이 느껴질 때마다 적당량을 덜어 부드럽게 롤링하면서 흡수시켜줍니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1027_(MLHC008)-미미로린스 모먼트 플랜트 핸드크림-해피 텐져린.xls,927,20.01.07,EVCO-1027,미미로린스 모먼트 플랜트 핸드크림-해피텐져린,Mimi Lauryne's Moment Plant Hand Cream-Happy Tangerine,500ml,490,0.992,6.0 ± 1.0,"25,000 ± 5,000",,0,0,0,0,3년,어려움,라벨,,상단 2.5cm,X,,,,both,True,True
판테스틱 더마 시카 파우더,PANTHESTIC Derma Cica Powder,EVCO-1028,2020.01.06,PTPW001,백색의 가루,7 g,신 혜 정,기초 마무리 단계에서 내용물을 덜어내어 고민 부위를 중심으로 얹어줍니다. 기초 제품과 섞어 피부에 흡수시켜줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년(개봉후 12개월),제품표준서_EVCO1028_(PTPW001)-판테스틱 더마 시카 파우더.xls,928,20.01.06,EVCO-1028,판테스틱 더마 시카 파우더,PANTHESTIC Derma Cica Powder,7g,7,,,,,0,0,0,0,,어려움,라벨/단상자,,,,,,충진업체 : ㈜필코메이드,both,True,True
판테스틱 더마 비타 파우더,PANTHESTIC Derma Vita Powder,EVCO-1029,2020.01.06,PTPW002,백색의 가루,7 g,신 혜 정,기초 마무리 단계에서 내용물을 덜어내어 고민 부위를 중심으로 얹어줍니다. 기초 제품과 섞어 피부에 흡수시켜줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년(개봉후 12개월),제품표준서_EVCO1029_(PTPW002)-판테스틱 더마 비타 파우더.xls,929,20.01.06,EVCO-1029,판테스틱 더마 비타 파우더,PANTHESTIC Derma Vita Powder,7g,7,,,,,0,0,0,0,,어려움,라벨/단상자,,,,,,충진업체 : ㈜필코메이드,both,True,True
미미로린스 모먼트 핸드크림-뮤즈,Mimi Laurynes Moment Hand Cream-Muse,EVCO-1030,2020.03.10,MLHC014,백색의 크림상,60 mL,신 혜 정,적당량을 덜어 손에 부드럽게 도포 후 충분히 흡수시켜줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1030_(MLHC014)-미미로린스 모먼트 핸드크림-뮤즈.xls,930,20.03.10,EVCO-1030,미미로린스 모먼트 핸드크림-뮤즈,Mimi Laurynes Moment Hand Cream-Muse,60ml,59,0.985,6.5 ± 1.0,"45,000 ± 5,000",,0,0,0,0,,,튜브/단상자,,,,,,,both,True,True
미미로린스 모먼트 핸드크림-멜리플루어스,Mimi Laurynes Moment Hand Cream-Mellifluous,EVCO-1031,2020.03.10,MLHC015,백색의 크림상,60 mL,신 혜 정,적당량을 덜어 손에 부드럽게 도포 후 충분히 흡수시켜줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1031_(MLHC015)-미미로린스 모먼트 핸드크림-멜리플루어스.xls,931,20.03.10,EVCO-1031,미미로린스 모먼트 핸드크림-멜리플루어스,Mimi Laurynes Moment Hand Cream-Mellifluous,60ml,59,0.985,6.5 ± 1.0,"45,000 ± 5,000",,0,0,0,0,,,튜브/단상자,,,,,,,both,True,True
