제품코드,QC유형,순번,항목,시험기준,시험방법
FJCR003,완제품,,내   용   량,3개 평균 100% 이상,EV-F-1035(0)
FJCRM03,완제품,,납,20 ppm 이하,EV-F-1011(0)
FJCR003,완제품,,납,20 ppm 이하,EV-F-1011(0)
FJCRM03,완제품,,비        소,5 ppm 이하,EV-F-1012(0)
FJCR003,완제품,,비        소,5 ppm 이하,EV-F-1012(0)
FJCRM03,반제품,3.0,P         H,4.8 ± 1.0 (25℃),EV-F-1006(0)
FJCR003,반제품,3.0,P         H,4.8 ± 1.0 (25℃),EV-F-1006(0)
FJCRM03,반제품,4.0,경        도,80 ± 15 dyne/cm2,EV-F-1007(0)
FJCR003,반제품,4.0,경        도,80 ± 15 dyne/cm2,EV-F-1007(0)
FJCRM03,반제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
FJCR003,반제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
FJCRM03,완제품,3.0,P         H,4.8 ± 1.0 (25℃),EV-F-1006(0)
FJCR003,완제품,3.0,P         H,4.8 ± 1.0 (25℃),EV-F-1006(0)
FJCRM03,완제품,4.0,내   용   량,표시용량(50mL)의 97%이상,EV-F-1035(0)
FJCR003,완제품,4.0,내   용   량,표시용량(50mL)의 97%이상,EV-F-1035(0)
FJCRM03,완제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
FJCR003,완제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
FJCRM03,완제품,6.0,안   정   성,"37℃,45℃ 3일 이상 안정",EV-F-1005(0)
FJCR003,완제품,6.0,안   정   성,"37℃,45℃ 3일 이상 안정",EV-F-1005(0)
FJCRM03,완제품,7.0,미   생   물,500 CFU/g 이하,EV-F-1014(0)
FJCR003,완제품,7.0,미   생   물,500 CFU/g 이하,EV-F-1014(0)
FJCRM03,완제품,8.0,수        은,1ppm이하,EV-F-1013(0)
FJCR003,완제품,8.0,수        은,1ppm이하,EV-F-1013(0)
FJCRM03,완제품,,점        도,"7,000 ± 3,000 Cps",EV-F-1008(0)
FJCR003,완제품,,점        도,"7,000 ± 3,000 Cps",EV-F-1008(0)
FJCRM03,완제품,,경        도,40 ± 15 dyne/cm2,EV-F-1007(0)
FJCR003,완제품,,경        도,40 ± 15 dyne/cm2,EV-F-1007(0)
FJCRM03,완제품,,수        은,1ppm이하,EV-F-1013(0)
FJCR003,완제품,,수        은,1ppm이하,EV-F-1013(0)
FJCRM03,완제품,,비        중,0.978 ~ 1.018,EV-F-1009(0)
FJCR003,완제품,,비        중,0.978 ~ 1.018,EV-F-1009(0)
FJCRM03,완제품,,알부틴 확인시험,RT ± 10% 이내,식약청 고시
FJCR003,완제품,,알부틴 확인시험,RT ± 10% 이내,식약청 고시
FJCRM03,완제품,,알부틴 함량시험,표시량의 90% 이상,식약청 고시
FJCR003,완제품,,알부틴 함량시험,표시량의 90% 이상,식약청 고시
FJCRM03,완제품,,아데노신 확인시험,RT ± 10% 이내,식약청 고시
FJCR003,완제품,,아데노신 확인시험,RT ± 10% 이내,식약청 고시
FJCRM03,완제품,,아데노신 함량시험,표시량의 90% 이상,식약청 고시
FJCR003,완제품,,아데노신 함량시험,표시량의 90% 이상,식약청 고시
FJCRM03,완제품,,메   탄   올,0.2 V/V % 이하,EV-F-1010(0)
FJCR003,완제품,,메   탄   올,0.2 V/V % 이하,EV-F-1010(0)
FJCRM03,완제품,,나이아신아마이드 확인시험,RT ± 10% 이내,식약청 고시
FJCR003,완제품,,나이아신아마이드 확인시험,RT ± 10% 이내,식약청 고시
FJCRM03,완제품,,나이아신아마이드 함량시험,표시량의 90% 이상,식약청 고시
FJCR003,완제품,,나이아신아마이드 함량시험,표시량의 90% 이상,식약청 고시
FJCRM03,완제품,,히드로퀴논 확인시험,1ppm 이하,식약청 고시
FJCR003,완제품,,히드로퀴논 확인시험,1ppm 이하,식약청 고시
FJCRM03,완제품,,내   용   량,3개 평균 97% 이상,EV-F-1035(0)
FJCR003,완제품,,내   용   량,3개 평균 97% 이상,EV-F-1035(0)
FJCRM03,완제품,,내   용   량,3개 평균 100% 이상,EV-F-1035(0)
FJCR003,완제품,,내   용   량,3개 평균 100% 이상,EV-F-1035(0)
FJCRM03,완제품,,납,20 ppm 이하,EV-F-1011(0)
FJCR003,완제품,,납,20 ppm 이하,EV-F-1011(0)
FJCRM03,완제품,,비        소,5 ppm 이하,EV-F-1012(0)
FJCR003,완제품,,비        소,5 ppm 이하,EV-F-1012(0)
FJPK001,반제품,3.0,P         H,7.0 ± 1.0 (25℃),EV-F-1006(0)
FJPK001,반제품,4.0,점        도,"9,000 ± 3,000 Cps",EV-F-1008(0)
FJPK001,반제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
FJPK001,완제품,3.0,P         H,7.0 ± 1.0 (25℃),EV-F-1006(0)
FJPK001,완제품,4.0,내   용   량,표시용량(300mL)의 97%이상,EV-F-1035(0)
FJPK001,완제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
FJPK001,완제품,6.0,안   정   성,"37℃,45℃ 3일 이상 안정",EV-F-1005(0)
FJPK001,완제품,7.0,미   생   물,500 CFU/g 이하,EV-F-1014(0)
FJPK001,완제품,,점        도,"7,000 ± 3,000 Cps",EV-F-1008(0)
FJPK001,완제품,,경        도,40 ± 15 dyne/cm2,EV-F-1007(0)
FJPK001,완제품,,수        은,1ppm이하,EV-F-1013(0)
FJPK001,완제품,,비        중,0.978 ~ 1.018,EV-F-1009(0)
FJPK001,완제품,,알부틴 확인시험,RT ± 10% 이내,식약청 고시
FJPK001,완제품,,알부틴 함량시험,표시량의 90% 이상,식약청 고시
FJPK001,완제품,,아데노신 확인시험,RT ± 10% 이내,식약청 고시
FJPK001,완제품,,아데노신 함량시험,표시량의 90% 이상,식약청 고시
FJPK001,완제품,,메   탄   올,0.2 V/V % 이하,EV-F-1010(0)
FJPK001,완제품,,나이아신아마이드 확인시험,RT ± 10% 이내,식약청 고시
FJPK001,완제품,,나이아신아마이드 함량시험,표시량의 90% 이상,식약청 고시
FJPK001,완제품,,히드로퀴논 확인시험,1ppm 이하,식약청 고시
FJPK001,완제품,,내   용   량,3개 평균 97% 이상,EV-F-1035(0)
FJPK001,완제품,,내   용   량,3개 평균 100% 이상,EV-F-1035(0)
FJPK001,완제품,,납,20 ppm 이하,EV-F-1011(0)
FJPK001,완제품,,비        소,5 ppm 이하,EV-F-1012(0)
MLDM029,반제품,3.0,P         H,4.5 ± 1.0 (25℃),EV-F-1006(0)
MLDM030,반제품,3.0,P         H,4.5 ± 1.0 (25℃),EV-F-1006(0)
MLDM031,반제품,3.0,P         H,4.5 ± 1.0 (25℃),EV-F-1006(0)
MLDM029,반제품,4.0,비        중,0.984 ± 0.02,EV-F-1009(0)
MLDM030,반제품,4.0,비        중,0.984 ± 0.02,EV-F-1009(0)
MLDM031,반제품,4.0,비        중,0.984 ± 0.02,EV-F-1009(0)
MLDM029,반제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
MLDM030,반제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
MLDM031,반제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
MLDM029,완제품,3.0,P         H,4.5 ± 1.0 (25℃),EV-F-1008(0)
MLDM030,완제품,3.0,P         H,4.5 ± 1.0 (25℃),EV-F-1008(0)
MLDM031,완제품,3.0,P         H,4.5 ± 1.0 (25℃),EV-F-1008(0)
MLDM029,완제품,4.0,내   용   량,표시용량(50ml)의 97%이상,EV-F-1035(0)
MLDM030,완제품,4.0,내   용   량,표시용량(50ml)의 97%이상,EV-F-1035(0)
MLDM031,완제품,4.0,내   용   량,표시용량(50ml)의 97%이상,EV-F-1035(0)
MLDM029,완제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
MLDM030,완제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
MLDM031,완제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
MLDM029,완제품,6.0,안   정   성,"37℃,45℃ 3일 이상 안정",EV-F-1005(0)
MLDM030,완제품,6.0,안   정   성,"37℃,45℃ 3일 이상 안정",EV-F-1005(0)
MLDM031,완제품,6.0,안   정   성,"37℃,45℃ 3일 이상 안정",EV-F-1005(0)
MLDM029,완제품,7.0,미   생   물,500 CFU/g 이하,EV-F-1014(0)
MLDM030,완제품,7.0,미   생   물,500 CFU/g 이하,EV-F-1014(0)
MLDM031,완제품,7.0,미   생   물,500 CFU/g 이하,EV-F-1014(0)
MLDM029,완제품,8.0,메   탄   올,0.2 V/V % 이하,EV-F-1010(0)
MLDM030,완제품,8.0,메   탄   올,0.2 V/V % 이하,EV-F-1010(0)
MLDM031,완제품,8.0,메   탄   올,0.2 V/V % 이하,EV-F-1010(0)
MLDM029,완제품,,점        도,"7,000 ± 3,000 Cps",EV-F-1008(0)
MLDM030,완제품,,점        도,"7,000 ± 3,000 Cps",EV-F-1008(0)
MLDM031,완제품,,점        도,"7,000 ± 3,000 Cps",EV-F-1008(0)
MLDM029,완제품,,경        도,40 ± 15 dyne/cm2,EV-F-1007(0)
MLDM030,완제품,,경        도,40 ± 15 dyne/cm2,EV-F-1007(0)
MLDM031,완제품,,경        도,40 ± 15 dyne/cm2,EV-F-1007(0)
MLDM029,완제품,,수        은,1ppm이하,EV-F-1013(0)
MLDM030,완제품,,수        은,1ppm이하,EV-F-1013(0)
MLDM031,완제품,,수        은,1ppm이하,EV-F-1013(0)
MLDM029,완제품,,비        중,0.978 ~ 1.018,EV-F-1009(0)
MLDM030,완제품,,비        중,0.978 ~ 1.018,EV-F-1009(0)
MLDM031,완제품,,비        중,0.978 ~ 1.018,EV-F-1009(0)
MLDM029,완제품,,알부틴 확인시험,RT ± 10% 이내,식약청 고시
MLDM030,완제품,,알부틴 확인시험,RT ± 10% 이내,식약청 고시
MLDM031,완제품,,알부틴 확인시험,RT ± 10% 이내,식약청 고시
MLDM029,완제품,,알부틴 함량시험,표시량의 90% 이상,식약청 고시
MLDM030,완제품,,알부틴 함량시험,표시량의 90% 이상,식약청 고시
MLDM031,완제품,,알부틴 함량시험,표시량의 90% 이상,식약청 고시
MLDM029,완제품,,아데노신 확인시험,RT ± 10% 이내,식약청 고시
MLDM030,완제품,,아데노신 확인시험,RT ± 10% 이내,식약청 고시
MLDM031,완제품,,아데노신 확인시험,RT ± 10% 이내,식약청 고시
MLDM029,완제품,,아데노신 함량시험,표시량의 90% 이상,식약청 고시
MLDM030,완제품,,아데노신 함량시험,표시량의 90% 이상,식약청 고시
MLDM031,완제품,,아데노신 함량시험,표시량의 90% 이상,식약청 고시
MLDM029,완제품,,메   탄   올,0.2 V/V % 이하,EV-F-1010(0)
MLDM030,완제품,,메   탄   올,0.2 V/V % 이하,EV-F-1010(0)
MLDM031,완제품,,메   탄   올,0.2 V/V % 이하,EV-F-1010(0)
MLDM029,완제품,,나이아신아마이드 확인시험,RT ± 10% 이내,식약청 고시
MLDM030,완제품,,나이아신아마이드 확인시험,RT ± 10% 이내,식약청 고시
MLDM031,완제품,,나이아신아마이드 확인시험,RT ± 10% 이내,식약청 고시
MLDM029,완제품,,나이아신아마이드 함량시험,표시량의 90% 이상,식약청 고시
MLDM030,완제품,,나이아신아마이드 함량시험,표시량의 90% 이상,식약청 고시
MLDM031,완제품,,나이아신아마이드 함량시험,표시량의 90% 이상,식약청 고시
MLDM029,완제품,,히드로퀴논 확인시험,1ppm 이하,식약청 고시
MLDM030,완제품,,히드로퀴논 확인시험,1ppm 이하,식약청 고시
MLDM031,완제품,,히드로퀴논 확인시험,1ppm 이하,식약청 고시
MLDM029,완제품,,내   용   량,3개 평균 97% 이상,EV-F-1035(0)
MLDM030,완제품,,내   용   량,3개 평균 97% 이상,EV-F-1035(0)
MLDM031,완제품,,내   용   량,3개 평균 97% 이상,EV-F-1035(0)
MLDM029,완제품,,내   용   량,3개 평균 100% 이상,EV-F-1035(0)
MLDM030,완제품,,내   용   량,3개 평균 100% 이상,EV-F-1035(0)
MLDM031,완제품,,내   용   량,3개 평균 100% 이상,EV-F-1035(0)
MLDM029,완제품,,납,20 ppm 이하,EV-F-1011(0)
MLDM030,완제품,,납,20 ppm 이하,EV-F-1011(0)
MLDM031,완제품,,납,20 ppm 이하,EV-F-1011(0)
MLDM029,완제품,,비        소,5 ppm 이하,EV-F-1012(0)
MLDM030,완제품,,비        소,5 ppm 이하,EV-F-1012(0)
MLDM031,완제품,,비        소,5 ppm 이하,EV-F-1012(0)
MLDM029,반제품,3.0,P         H,4.5 ± 1.0 (25℃),EV-F-1006(0)
MLDM030,반제품,3.0,P         H,4.5 ± 1.0 (25℃),EV-F-1006(0)
MLDM031,반제품,3.0,P         H,4.5 ± 1.0 (25℃),EV-F-1006(0)
MLDM029,반제품,4.0,비        중,0.984 ± 0.02,EV-F-1009(0)
MLDM030,반제품,4.0,비        중,0.984 ± 0.02,EV-F-1009(0)
MLDM031,반제품,4.0,비        중,0.984 ± 0.02,EV-F-1009(0)
MLDM029,반제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
MLDM030,반제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
MLDM031,반제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
MLDM029,완제품,3.0,P         H,4.5 ± 1.0 (25℃),EV-F-1008(0)
MLDM030,완제품,3.0,P         H,4.5 ± 1.0 (25℃),EV-F-1008(0)
MLDM031,완제품,3.0,P         H,4.5 ± 1.0 (25℃),EV-F-1008(0)
MLDM029,완제품,4.0,내   용   량,표시용량(50ml)의 97%이상,EV-F-1035(0)
MLDM030,완제품,4.0,내   용   량,표시용량(50ml)의 97%이상,EV-F-1035(0)
MLDM031,완제품,4.0,내   용   량,표시용량(50ml)의 97%이상,EV-F-1035(0)
MLDM029,완제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
MLDM030,완제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
MLDM031,완제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
MLDM029,완제품,6.0,안   정   성,"37℃,45℃ 3일 이상 안정",EV-F-1005(0)
MLDM030,완제품,6.0,안   정   성,"37℃,45℃ 3일 이상 안정",EV-F-1005(0)
MLDM031,완제품,6.0,안   정   성,"37℃,45℃ 3일 이상 안정",EV-F-1005(0)
MLDM029,완제품,7.0,미   생   물,500 CFU/g 이하,EV-F-1014(0)
MLDM030,완제품,7.0,미   생   물,500 CFU/g 이하,EV-F-1014(0)
MLDM031,완제품,7.0,미   생   물,500 CFU/g 이하,EV-F-1014(0)
MLDM029,완제품,8.0,메   탄   올,0.2 V/V % 이하,EV-F-1010(0)
MLDM030,완제품,8.0,메   탄   올,0.2 V/V % 이하,EV-F-1010(0)
MLDM031,완제품,8.0,메   탄   올,0.2 V/V % 이하,EV-F-1010(0)
MLDM029,완제품,,점        도,"7,000 ± 3,000 Cps",EV-F-1008(0)
MLDM030,완제품,,점        도,"7,000 ± 3,000 Cps",EV-F-1008(0)
MLDM031,완제품,,점        도,"7,000 ± 3,000 Cps",EV-F-1008(0)
MLDM029,완제품,,경        도,40 ± 15 dyne/cm2,EV-F-1007(0)
MLDM030,완제품,,경        도,40 ± 15 dyne/cm2,EV-F-1007(0)
MLDM031,완제품,,경        도,40 ± 15 dyne/cm2,EV-F-1007(0)
MLDM029,완제품,,수        은,1ppm이하,EV-F-1013(0)
MLDM030,완제품,,수        은,1ppm이하,EV-F-1013(0)
MLDM031,완제품,,수        은,1ppm이하,EV-F-1013(0)
MLDM029,완제품,,비        중,0.978 ~ 1.018,EV-F-1009(0)
MLDM030,완제품,,비        중,0.978 ~ 1.018,EV-F-1009(0)
MLDM031,완제품,,비        중,0.978 ~ 1.018,EV-F-1009(0)
MLDM029,완제품,,알부틴 확인시험,RT ± 10% 이내,식약청 고시
MLDM030,완제품,,알부틴 확인시험,RT ± 10% 이내,식약청 고시
MLDM031,완제품,,알부틴 확인시험,RT ± 10% 이내,식약청 고시
MLDM029,완제품,,알부틴 함량시험,표시량의 90% 이상,식약청 고시
MLDM030,완제품,,알부틴 함량시험,표시량의 90% 이상,식약청 고시
MLDM031,완제품,,알부틴 함량시험,표시량의 90% 이상,식약청 고시
MLDM029,완제품,,아데노신 확인시험,RT ± 10% 이내,식약청 고시
MLDM030,완제품,,아데노신 확인시험,RT ± 10% 이내,식약청 고시
MLDM031,완제품,,아데노신 확인시험,RT ± 10% 이내,식약청 고시
MLDM029,완제품,,아데노신 함량시험,표시량의 90% 이상,식약청 고시
MLDM030,완제품,,아데노신 함량시험,표시량의 90% 이상,식약청 고시
MLDM031,완제품,,아데노신 함량시험,표시량의 90% 이상,식약청 고시
MLDM029,완제품,,메   탄   올,0.2 V/V % 이하,EV-F-1010(0)
MLDM030,완제품,,메   탄   올,0.2 V/V % 이하,EV-F-1010(0)
MLDM031,완제품,,메   탄   올,0.2 V/V % 이하,EV-F-1010(0)
MLDM029,완제품,,나이아신아마이드 확인시험,RT ± 10% 이내,식약청 고시
MLDM030,완제품,,나이아신아마이드 확인시험,RT ± 10% 이내,식약청 고시
MLDM031,완제품,,나이아신아마이드 확인시험,RT ± 10% 이내,식약청 고시
MLDM029,완제품,,나이아신아마이드 함량시험,표시량의 90% 이상,식약청 고시
MLDM030,완제품,,나이아신아마이드 함량시험,표시량의 90% 이상,식약청 고시
MLDM031,완제품,,나이아신아마이드 함량시험,표시량의 90% 이상,식약청 고시
MLDM029,완제품,,히드로퀴논 확인시험,1ppm 이하,식약청 고시
MLDM030,완제품,,히드로퀴논 확인시험,1ppm 이하,식약청 고시
MLDM031,완제품,,히드로퀴논 확인시험,1ppm 이하,식약청 고시
MLDM029,완제품,,내   용   량,3개 평균 97% 이상,EV-F-1035(0)
MLDM030,완제품,,내   용   량,3개 평균 97% 이상,EV-F-1035(0)
MLDM031,완제품,,내   용   량,3개 평균 97% 이상,EV-F-1035(0)
MLDM029,완제품,,내   용   량,3개 평균 100% 이상,EV-F-1035(0)
MLDM030,완제품,,내   용   량,3개 평균 100% 이상,EV-F-1035(0)
MLDM031,완제품,,내   용   량,3개 평균 100% 이상,EV-F-1035(0)
MLDM029,완제품,,납,20 ppm 이하,EV-F-1011(0)
MLDM030,완제품,,납,20 ppm 이하,EV-F-1011(0)
MLDM031,완제품,,납,20 ppm 이하,EV-F-1011(0)
MLDM029,완제품,,비        소,5 ppm 이하,EV-F-1012(0)
MLDM030,완제품,,비        소,5 ppm 이하,EV-F-1012(0)
MLDM031,완제품,,비        소,5 ppm 이하,EV-F-1012(0)
MLDM029,반제품,3.0,P         H,4.5 ± 1.0 (25℃),EV-F-1006(0)
MLDM030,반제품,3.0,P         H,4.5 ± 1.0 (25℃),EV-F-1006(0)
MLDM031,반제품,3.0,P         H,4.5 ± 1.0 (25℃),EV-F-1006(0)
MLDM029,반제품,4.0,비        중,0.984 ± 0.02,EV-F-1009(0)
MLDM030,반제품,4.0,비        중,0.984 ± 0.02,EV-F-1009(0)
MLDM031,반제품,4.0,비        중,0.984 ± 0.02,EV-F-1009(0)
MLDM029,반제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
MLDM030,반제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
MLDM031,반제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
MLDM029,완제품,3.0,P         H,4.5 ± 1.0 (25℃),EV-F-1008(0)
MLDM030,완제품,3.0,P         H,4.5 ± 1.0 (25℃),EV-F-1008(0)
MLDM031,완제품,3.0,P         H,4.5 ± 1.0 (25℃),EV-F-1008(0)
MLDM029,완제품,4.0,내   용   량,표시용량(50ml)의 97%이상,EV-F-1035(0)
MLDM030,완제품,4.0,내   용   량,표시용량(50ml)의 97%이상,EV-F-1035(0)
MLDM031,완제품,4.0,내   용   량,표시용량(50ml)의 97%이상,EV-F-1035(0)
MLDM029,완제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
MLDM030,완제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
MLDM031,완제품,5.0,사   용   감,표 준 품 에 준 함,EV-F-1004(0)
MLDM029,완제품,6.0,안   정   성,"37℃,45℃ 3일 이상 안정",EV-F-1005(0)
MLDM030,완제품,6.0,안   정   성,"37℃,45℃ 3일 이상 안정",EV-F-1005(0)
MLDM031,완제품,6.0,안   정   성,"37℃,45℃ 3일 이상 안정",EV-F-1005(0)
MLDM029,완제품,7.0,미   생   물,500 CFU/g 이하,EV-F-1014(0)
MLDM030,완제품,7.0,미   생   물,500 CFU/g 이하,EV-F-1014(0)
MLDM031,완제품,7.0,미   생   물,500 CFU/g 이하,EV-F-1014(0)
MLDM029,완제품,8.0,메   탄   올,0.2 V/V % 이하,EV-F-1010(0)
MLDM030,완제품,8.0,메   탄   올,0.2 V/V % 이하,EV-F-1010(0)
MLDM031,완제품,8.0,메   탄   올,0.2 V/V % 이하,EV-F-1010(0)
MLDM029,완제품,,점        도,"7,000 ± 3,000 Cps",EV-F-1008(0)
MLDM030,완제품,,점        도,"7,000 ± 3,000 Cps",EV-F-1008(0)
MLDM031,완제품,,점        도,"7,000 ± 3,000 Cps",EV-F-1008(0)
MLDM029,완제품,,경        도,40 ± 15 dyne/cm2,EV-F-1007(0)
MLDM030,완제품,,경        도,40 ± 15 dyne/cm2,EV-F-1007(0)
MLDM031,완제품,,경        도,40 ± 15 dyne/cm2,EV-F-1007(0)
MLDM029,완제품,,수        은,1ppm이하,EV-F-1013(0)
MLDM030,완제품,,수        은,1ppm이하,EV-F-1013(0)
MLDM031,완제품,,수        은,1ppm이하,EV-F-1013(0)
MLDM029,완제품,,비        중,0.978 ~ 1.018,EV-F-1009(0)
MLDM030,완제품,,비        중,0.978 ~ 1.018,EV-F-1009(0)
MLDM031,완제품,,비        중,0.978 ~ 1.018,EV-F-1009(0)
MLDM029,완제품,,알부틴 확인시험,RT ± 10% 이내,식약청 고시
