product_code,step_num,step_type,step_name,step_desc,work_time,checker
AOBL_______,3,제조공정,"점증제
분산","별도용해조에서 정제수에 Pemulen 넣고 Stirrer로 용해한다. 
 (정제수는 실온 사용, 매끈하게 풀린지 확인할 것)",,
AOBL_______,4,제조공정,수상 용해,수상용해조에 11**-14**을 넣고 78-80℃로 가온용해한다,,
AOBL_______,5,제조공정,유상 용해,유상용해조에 21**- 22**를 넣고  78-80℃로 가온용해한다,,
AOBL_______,6,제조공정,1차유화,"메인탱크로 수상, 유상 순서로 이송후 유화한다
( Homo: 3500rpm, P:20rpm, T: 78-80℃  t: 3분 )",,
AOBL_______,7,제조공정,2차유화,"메인탱크로 31** 이송후 유화한다
( Homo: 3500rpm, P:20rpm, T: 70-75℃  t: 5분 )",,
AOBL_______,8,제조공정,냉각탈포,"60℃로 냉각, 탈포한다",,
AOBL_______,9,제조공정,"향, 첨가제
투입","41**, 51**을 투입교반하고, 냉각,탈포한다",,
AOBL_______,10,제조공정,부상,33℃까지 냉각하여 부상한다.,,
AOBL_______,100,유의사항,작업자 유의사항,*메인탱크에 투입시 100메쉬 여과 거칠 것,,
AOFC______,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
AOFC______,2,제조공정,"점증제
분산","별도용해조에서 정제수에 Natrosol 넣고 Stirrer로 용해한다. 
 (정제수는 열수 사용, 매끈하게 풀린지 확인할 것)",,
AOFC______,3,제조공정,유상 용해,유상용해조에 11**- 12**를 넣고 72-75℃로 가온용해한다,,
AOFC______,4,제조공정,수상 용해,"수상용해조에 21**, 2210을 넣고  72-75℃로 가온용해한다",,
AOFC______,5,제조공정,검화,"메인탱크로 유상을 이송후 수상을 천천히 이송해 검화한다.
( Homo: 1000rpm, P:20rpm, T: 72-75℃  t: 30분 )",,
AOFC______,6,제조공정,냉각,31**을 투입후 60℃로 교반 냉각한다,,
AOFC______,7,제조공정,"향, 첨가제
투입","4110, 51**, 61**을 투입교반하며 냉각한다",,
AOFC______,8,제조공정,부상,32℃까지 냉각하여 점/경도 확인후 부상한다.,,
AOFC______,100,유의사항,작업자 유의사항,*일정 점/경도가 생성되기 전까지 냉각 교반할 것.,,
AOHA001,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
AOHA001,2,제조공정,수상 용해,수상용해조에서 11**을 76-80℃로 가온하며 교반용해한다. ,,
AOHA001,3,제조공정,수상 용해,위상이 완전용해된 것을 확인하고 12**을 투입 혼합한다.,,
AOHA001,4,제조공정,유상 용해,유상용해조에 21**을 넣고 76-80℃로 가온용해한다,,
AOHA001,5,제조공정,유   화,"메인탱크로 수상, 유상 순서로 이송후 유화한다. 유화전 메인탱크 스팀 넣을 것.
( Homo: 3400rpm, P:30rpm, T: 74-78℃  t: 5분 )",,
AOHA001,6,제조공정,"혼합
냉각","향(31**), 첨가제(41**)을 혼합교반 한 후(위 조건으로 1분) 냉각 탈포 개시한다. ( V: Max, P:15rpm )",,
AOHA001,7,제조공정,"냉각탈포
부상","33℃까지 냉각, 탈포하여 부상한다.",,
AOHA001,100,유의사항,작업자 유의사항,"* 부상전 품질관리팀에 확인 거칠 것 (점도확인)

",,
AOHE001,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
AOHE001,2,제조공정,"점증제
분산","수상용해조에 정제수(1110, 실온)을 투입 교반하며 11** 조금씩 투입하여 분산한 뒤 가온개시한다",,
AOHE001,3,제조공정,"점증제
분산",위 상을 80-82℃로 가온용해하여 투명하게 용해시킨다 (30분 이상 교반할 것),,
AOHE001,4,제조공정,"이  송
냉  각",위상을 메인믹서로 여과이송 후 50℃까지 냉각한다.,,
AOHE001,5,제조공정,"알콜파트
투입","21**을 교반봉을 이용 격렬히 혼합시킨후 메인믹서에 투입하여 혼합한다
( Homo: 2,500rpm, P:30rpm )",,
AOHE001,6,제조공정,혼  합,"3110, 4110을 차례로 투입하며 혼합한다, 2분 간격
( Homo: 2,500rpm, P:30rpm )",,
AOHE001,7,제조공정,"첨가제, 색소
투입","51**, 61**을 투입교반하고, 냉각, 탈포한다
( Homo: 2,500rpm, P:30rpm )",,
AOHE001,8,제조공정,"탈  포
부  상",34℃까지 냉각탈포하여 부상한다.,,
"AOHSR00
(BAOHS000)",1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
"AOHSR00
(BAOHS000)",2,제조공정,용  해,메인믹서에 11**을 용해한다. (실온),,
"AOHSR00
(BAOHS000)",3,제조공정,"혼  합
용  해",위 상에 21**을 혼합용해한다. (실온),,
"AOHSR00
(BAOHS000)",4,제조공정,"혼  합
용  해",위 상에 31**을 혼합용해한다. (실온),,
"AOHSR00
(BAOHS000)",5,제조공정,"여  과
종  료",100메쉬 여과하여 종료한다.,,
AORS001,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
AORS001,2,제조공정,"점증제
분산",별도용해조에서 Glyerin(1220)에 Esaflor(1210)을 넣고 Premix한다,,
AORS001,3,제조공정,수상 용해,"수상용해조에 11**, 12**을 넣고 78-80℃로 가온용해한다",,
AORS001,4,제조공정,유상 용해,"유상용해조에 21**, 22**를 넣고  78-80℃로 가온용해한다",,
AORS001,5,제조공정,이  송,"메인탱크로 수상을 여과이송하고 STAC-30(1310)을 
여과투입하여 혼합교반 한다. ",,
AORS001,6,제조공정,유  화,"메인탱크로 유상을 여과이송후 유화한다
( Homo: 3500rpm, P:20rpm, T: 78-80℃  t: 10분 )",,
AORS001,7,제조공정,냉각탈포,"60℃로 냉각, 탈포한다",,
AORS001,8,제조공정,"향, 첨가제
투입","31**, 41**, 51**, 61**을 투입교반하고, 냉각, 탈포한다",,
AORS001,9,제조공정,부상,33℃까지 냉각하여 부상한다.,,
AOSP003,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
AOSP003,2,제조공정,"가온
용해",수상용해조에서 원료 11**을 넣고 80℃로 가열용해한다.,,
AOSP003,3,제조공정,"가온
용해","메인믹서로 11**, 21**, 2210을 투입하고 가온용해한다. (78℃, 10분 유지)",,
AOSP003,4,제조공정,"향파트
혼 합",31**을 먼저 교반봉으로 혼합후 3210을 별도용해조에서 Stirrer로 교반하며 투입 전체를 고르게 혼합한다.,,
AOSP003,5,제조공정,혼 합,위 향파트(3***)를 메인믹서에 투입분산하며 냉각개시한다.,,
AOSP003,6,제조공정,혼 합,"51**을 교반봉으로 혼합후 메인믹서에 투입 혼합한다. 
(여과투입 중요)",,
AOSP003,7,제조공정,혼 합,"61**, 71**, 81**을 용해후 투입 분산한다.",,
AOSP003,8,제조공정,"냉 각
부 상",  38℃까지 냉각하여 여과 배출한다. ,,
AOSP003,9,제조공정,"혼 합
종 료",배출하며 9110(비드)을 Stirring 하며 고르게 혼합하여 종료한다.,,
AOSP003,100,유의사항,작업자 유의사항,"  
    - 3일 이상 숙성하여 자연탈포할 것.
",,
AOWS000,1,제조공정,"청결상태 
점     검","1. 작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
AOWS000,2,제조공정,용  해,2. 메인믹서에 원료 11** 을 넣고 상온용해한다. (30-40℃),,
AOWS000,3,제조공정,용  해,3. 2110을 투입하여 20분간 혼합교반한다. (30-40℃),,
AOWS000,4,제조공정,"알콜파트
용해 후
투입",4. 별도용해조에서 31**을 Stirrer를 이용 충분히 교반용해후 메인믹서에 투입교반한다. (30-40℃),,
AOWS000,5,제조공정,혼  합,5. 41**을 투입 혼합한다.,,
AOWS000,6,제조공정,부  상,6. 100메쉬 여과하여 종료한다.,,
ARFC______,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
ARFC______,2,제조공정,"점증제
분산","별도용해조에서 정제수에 Natrosol 넣고 Stirrer로 용해한다. 
 (정제수는 열수 사용, 매끈하게 풀린지 확인할 것)",,
ARFC______,3,제조공정,유상 용해,유상용해조에 11**- 12**를 넣고 72-75℃로 가온용해한다,,
ARFC______,4,제조공정,수상 용해,"수상용해조에 21**, 2210을 넣고  72-75℃로 가온용해한다",,
ARFC______,5,제조공정,검화,"메인탱크로 유상을 이송후 수상을 천천히 이송해 검화한다.
( Homo: 1000rpm, P:20rpm, T: 72-75℃  t: 30분 )",,
ARFC______,6,제조공정,냉각,31**을 투입후 60℃로 교반 냉각한다,,
ARFC______,7,제조공정,"향, 첨가제
투입","41**, 51**을 투입교반하며 냉각한다",,
ARFC______,8,제조공정,부상,32℃까지 냉각하여 점/경도 확인후 부상한다.,,
ARFC______,100,유의사항,작업자 유의사항,*일정 점/경도가 생성되기 전까지 교반을 종료하지 말 것,,
BBHC_____,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
BBHC_____,2,제조공정,"점증제
분산","별도용해조에서 정제수에 Natrosol 넣고 Stirrer로 용해한다. 
 (정제수는 열수 사용, 매끈하게 풀린지 확인할 것)",,
BBHC_____,3,제조공정,"점증제
분산","별도용해조에서 정제수에 carbopol을 넣고 Stirrer로 
용해한다. 
 (정제수는 실온 사용, 매끈하게 풀린지 확인할 것)",,
BBHC_____,4,제조공정,수상 용해,수상용해조에 11**- 14**을 넣고 78-80℃로 가온용해한다,,
BBHC_____,5,제조공정,유상 용해,유상용해조에 21**- 22**를 넣고  78-80℃로 가온용해한다,,
BBHC_____,6,제조공정,1차유화,"메인탱크로 수상, 유상 순서로 이송후 유화한다
( Homo: 3500rpm, P:20rpm, T: 78-80℃  t: 3분 )",,
BBHC_____,7,제조공정,2차유화,"메인탱크로 31** 이송후 유화한다
( Homo: 3500rpm, P:20rpm, T: 70-75℃  t: 5분 )",,
BBHC_____,8,제조공정,냉각탈포,"60℃로 냉각, 탈포한다",,
BBHC_____,9,제조공정,"향, 첨가제
투입","41**, 51**을 투입교반하고, 냉각,탈포한다",,
BBHC_____,10,제조공정,부상,33℃까지 냉각하여 부상한다.,,
BBHC_____,100,유의사항,작업자 유의사항,*메인탱크에 투입시 100메쉬 여과 거칠 것,,
BDFC001,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
BDFC001,2,제조공정,"점증제
분산","별도용해조에서 정제수에 Pemulen 넣고 Stirrer로 용해한다. 
 (정제수는 실온 사용, 매끈하게 풀린지 확인할 것)",,
BDFC001,3,제조공정,수상 용해,수상용해조에 11**-12**을 넣고 78-80℃로 가온용해한다,,
BDFC001,4,제조공정,유상 용해,유상용해조에 21**- 22**를 넣고  78-80℃로 가온용해한다,,
BDFC001,5,제조공정,1차유화,"메인탱크로 수상, 유상 순서로 이송후 유화한다
( Homo: 3500rpm, P:20rpm, T: 78-80℃  t: 3분 )",,
BDFC001,6,제조공정,2차유화,"메인탱크로 31** 이송후 유화한다
( Homo: 3500rpm, P:20rpm, T: 70-75℃  t: 5분 )",,
BDFC001,7,제조공정,냉각탈포,"60℃로 냉각, 탈포한다",,
BDFC001,8,제조공정,"향, 첨가제
색소 투입","41**, 51**을 투입교반하고, 냉각,탈포한다",,
BDFC001,9,제조공정,부상,33℃까지 냉각하여 부상한다.,,
BDFC001,100,유의사항,작업자 유의사항,*메인탱크에 투입시 100메쉬 여과 거칠 것,,
BDFD001,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
BDFD001,2,제조공정,유상용해,"1***을 메인탱크에서 교반분산한다.
(멘톨은 향에 미리 용해 후 투입할 것)",,
BDFD001,3,제조공정,수상용해,수상용해조에 21**을 용해한다. (ACH 서서히 투입할 것 / 투명용해 확인할 것),,
BDFD001,4,제조공정,유화,"메인탱크로 수상을 서서히 이송하며 유화한다. 
주의-1) 내용물 상태를 보며 호모속도를 단계적으로 높여 나간다.
( Homo: 3600rpm, P:30rpm, T: 실온  t: 5분 )",,
BDFD001,5,제조공정,분산,"3110을 투입하여 고르게 분산한다. 
( 10분 간격으로 2회 패들 긁어줄 것.)
( Homo: 2500rpm, P:30rpm )",,
BDFD001,6,제조공정,"탈포
종료",탈포하여 종료한다,,
BDFS001,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
BDFS001,2,제조공정,"알콜파트
용해",제조부에 원료 11** 을 차례로 투입한다.,,
BDFS002,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
BDFS002,2,제조공정,점증제분산,"별도용해조에서 11**을 균일하게 분산한다.
(Agi / 실온 / 물량 줄이지 말 것)",,
BDFS002,3,제조공정,용  해,"별도용해조에서 21**을 균일하게 용해한다.
(Agi 저속 / 실온)",,
BDFS002,4,제조공정,용  해  ,"별도용해조에서 31**을 균일하게 용해한다.
(Agi / 실온)",,
BDFS002,5,제조공정,혼  합,"메인탱크에 11**을 이송한후 21**을 투입혼합한다. (여과)
(Homo: 1000rpm, P: 30rpm, T: 실온, t: 5분)",,
BDFS002,6,제조공정,혼  합,"메인탱크에 31**, 41**을 투입혼합한다. (여과)
(Homo: 1000rpm, P: 30rpm, T: 실온, t: 5분)",,
BDFS002,7,제조공정,혼  합,"메인탱크에 51**을 투입혼합한다. (여과)
(Homo: 1000rpm, P: 30rpm, T: 실온, t: 1분) - 1분 넘지말것.",,
BDFS002,8,제조공정,"탈  포
종  료","탈포(5분/15rpm, 완전탈포는불가)하여 종료한다.",,
BDFS003,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
BDFS003,2,제조공정,"가온
용해","메인탱크에 원료 11** - 13**를 넣고 80℃로 가열용해한다.
    Pad 20rpm",,
BDFS003,3,제조공정,용해,"별도용해조에서 정제수(2110, 실온)를 Sterrer로 교반하며 2120을 조금씩 투입하여 투명하게 한다.",,
BDFS003,4,제조공정,냉각개시,"메인탱크에 원료 14** 와 21** 파트를 차례로 투입하고
60℃ 까지 냉각한다.",,
BDFS003,5,제조공정,용해,"별도용해조에서 31**, 41**파트를 각각 교반봉을 이용해 교반하여 용해한다. (필요시 살짝 가온하여 용해를 돕는다.)",,
BDFS003,6,제조공정,"향, 첨가제
색소 투입","향, 첨가제, 색소 등 남은 파트를 투입하여 교반한다.
 (31** , 41** 51**, 61**)",,
BDFS003,7,제조공정,"여  과
종  료",33-36℃까지 냉각후 100메쉬 여과하여 종료한다.,,
BPBB______,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
BPBB______,2,제조공정,"가온
용해","메인탱크에 원료 11**, 12** 를 넣고 80℃로 가열용해한다.
    Pad 20rpm",,
BPBB______,3,제조공정,"혼합
냉각","위 상의 용해확인 후 원료 21**, 31**, 41** 파트를 차례로 투입하고 34℃ 까지 냉각한다.",,
BPBB______,4,제조공정,"여  과
종  료",100메쉬 여과하여 종료한다.,,
BPBC______,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
BPBC______,2,제조공정,"가온
용해","메인탱크에 원료 1110, 12**, 13**를 넣고 80℃로 가열용해한다.
    Pad 20rpm",,
BPBC______,3,제조공정,냉각개시,"위 상의 용해확인 후 원료 14** 파트를 투입하고
60℃ 까지 냉각한다.",,
BPBC______,4,제조공정,"향, 첨가제,
 색소 투입","향과 첨가제, 색소(해당시) 파트를 투입하여 교반한다.",,
BPBC______,5,제조공정,"여  과
종  료",33-36℃까지 냉각후 100메쉬 여과하여 종료한다.,,
BPBL_____,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
BPBL_____,2,제조공정,"점증제
분산","별도용해조에서 정제수에 Natrosol 넣고 Stirrer로 용해한다. 
 (정제수는 열수 사용, 매끈하게 풀린지 확인할 것)",,
BPBL_____,3,제조공정,"점증제
분산","별도용해조에서 정제수에 Pemulen 넣고 Stirrer로 용해한다. 
 (정제수는 실온 사용, 매끈하게 풀린지 확인할 것)",,
BPBL_____,4,제조공정,수상 용해,"수상용해조에 11**, 15**을 넣고 78-80℃로 가온용해한다",,
BPBL_____,5,제조공정,유상 용해,"유상용해조에 21**, 22**을 넣고  78-80℃로 가온용해한다",,
BPBL_____,6,제조공정,1차유화,"메인탱크로 수상, 유상 순서로 이송후 유화한다
( Homo: 3500rpm, P:20rpm, T: 78-80℃  t: 3분 )",,
BPBL_____,7,제조공정,2차유화,"메인탱크로 31** 이송후 유화한다
( Homo: 3500rpm, P:20rpm, T: 70-75℃  t: 5분 )",,
BPBL_____,8,제조공정,냉각탈포,"60℃로 냉각, 탈포한다",,
BPBL_____,9,제조공정,"향, 첨가제
투입","41**, 51**을 투입교반하고, 냉각,탈포한다",,
BPBL_____,10,제조공정,부상,33℃까지 냉각하여 부상한다.,,
BPBL_____,100,유의사항,작업자 유의사항,*원료투입시 100메쉬 여과 거칠 것,,
BPDF_______,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
BPDF_______,2,제조공정,"알콜파트
용해",별도용해조에 1110에 1120을 넣고 교반용해한다,,
BPHC______,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
BPHC______,2,제조공정,"점증제
분산","별도용해조에서 정제수에 Natrosol 넣고 Stirrer로 용해한다. 
 (정제수는 열수 사용, 매끈하게 풀린지 확인할 것)",,
BPHC______,3,제조공정,"점증제
분산","별도용해조에서 정제수에 Carbopol 940 넣고 Stirrer로 
용해한다. 
 (정제수는 실온 사용, 매끈하게 풀린지 확인할 것)",,
BPHC______,4,제조공정,수상 용해,수상용해조에 11**- 14**을 넣고 78-80℃로 가온용해한다,,
BPHC______,5,제조공정,유상 용해,유상용해조에 21**- 22**를 넣고  78-80℃로 가온용해한다,,
BPHC______,6,제조공정,1차유화,"메인탱크로 수상, 유상 순서로 이송후 유화한다
( Homo: 3500rpm, P:20rpm, T: 78-80℃  t: 3분 )",,
BPHC______,7,제조공정,2차유화,"메인탱크로 31** 이송후 유화한다
( Homo: 3500rpm, P:20rpm, T: 70-75℃  t: 5분 )",,
BPHC______,8,제조공정,냉각탈포,"60℃로 냉각, 탈포한다",,
BPHC______,9,제조공정,"향, 첨가제
투입","41**, 51**을 투입교반하고, 냉각,탈포한다",,
BPHC______,10,제조공정,부상,33℃까지 냉각하여 부상한다.,,
BPHC______,100,유의사항,작업자 유의사항,*메인탱크에 투입시 100메쉬 여과 거칠 것,,
BPMT001,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
