filename,product_code,product_name,batch_number,batch_unit,dept_name,actual_qty,mfg_date,operator,approver_1,approver_2,approver_3,notes_content,total_time,special_notes,step_count
VTBL_에바스 비타민바디로션.xlsx,VTBL_____,,,Kg,,Kg,,,"결

재",담 당,부서장,*원료투입시 100메쉬 여과 거칠 것,총소요시간,,10
VTDM_보탬 드레스퍼퓸미스트.xlsx,VTDM______,(보탬 드레스 퍼퓸 미스트),,Kg,,Kg,,,"결

재",담 당,부서장,,,,2
VTFC_비타민 클렌징폼.xlsx,VTFC______,,,Kg,,Kg,,,"결

재",담 당,부서장,*일정 점/경도가 생성되기 전까지 교반을 종료하지 말 것,,,8
VTHC_에바스 비타민핸드크림.xlsx,VTHC_____,,,Kg,,Kg,,,"결

재",담 당,부서장,*메인탱크에 투입시 100메쉬 여과 거칠 것,총소요시간,,10
VVCR_빈시뷰 프래그런스크림.xlsx,VVCR_____,,,Kg,,Kg,,,"결

재",담 당,부서장,*메인탱크에 투입시 100메쉬 여과 거칠 것,총소요시간,,9
VVHC_빈시뷰 프래그런스 핸드크림 공정.xlsx,VVHC_____,빈시뷰 프래그런스 핸드크림,,Kg,,Kg,,,"결

재",담 당,부서장,*메인탱크에 투입시 100메쉬 여과 거칠 것,총소요시간,,9
WMAP001_위드미 판테스틱더마시카카밍앰플.xlsx,WMAP001,위드미 판테스틱 더마 시카 카밍 앰플,,Kg,,Kg,,,"결

재",담 당,부서장,* 메인탱크에 투입시 100메쉬 여과 거칠 것,총소요시간,"
 *청색의 투명액상",8
WMAP002_위드미 판테스틱더마비타에너지앰플.xlsx,WMAP002,위드미 판테스틱 더마 비타에너지 앰플,,Kg,,Kg,,,"결

재",담 당,부서장,* 메인탱크에 투입시 100메쉬 여과 거칠 것,총소요시간,,8
WMAP003_위드미 판테스틱더마화이트닝컨트롤앰플.xlsx,WMAP003,위드미 판테스틱 더마 화이트닝 컨트롤 앰플,,Kg,,Kg,,,"결

재",담 당,부서장,,,"* 메인탱크에 투입시 100메쉬 여과 거칠 것
* 냉각종료온도 준수할것.",10
WMBL001_위드미 판테스틱더마시카AC로션.xlsx,WMBL001,위드미 판테스틱 더마 시카 AC로션,,Kg,,Kg,,,"결

재",담 당,부서장,*메인탱크에 투입시 100메쉬 여과 거칠 것,총소요시간,,10
WMCR004_위드미 판테스틱더마시카크림.xlsx,WMCR004,위드미 판테스틱 더마 시카 크림,,Kg,,Kg,,,"결

재",담 당,부서장,,,,8
WMCR_위드미 화이트닝크림.xlsx,WMCR003,위드미 옴므 우디보이 화이트닝 크림,,Kg,,Kg,,,"결

재",담 당,부서장,,,"*원료투입시 100메쉬 여과 거칠 것
*TiO2분산상태 확인후 진행할 것.",11
WMFC000_위드미 화이트퍼펙션포밍클렌저.xlsx,WMFC000,위드미 화이트 퍼펙션 포밍 클렌저,,Kg,,Kg,,,"결

재",담 당,부서장,*일정 점/경도가 생성되기 전까지 교반을 종료하지 말 것,,,7
WMFO001_위드미 엑스트라너트6딥페이스오일.xlsx,WMFO001,위드미 엑스트라 너트6 딥페이스 오일,,Kg,,Kg,,,"결

재",담 당,부서장,,,,4
WMIT_위드미 타투아이브로우젤틴트.xlsx,WMIT_______,,,Kg,,Kg,,,"결

재",담 당,부서장,물보정에 유의한다.,총소요시간,,10
WMMC001_위드미 pH밸런싱모닝클렌저.xlsx,WMMC001,위드미 pH밸런싱 모닝클렌저,,Kg,,Kg,,,"결

재",담 당,부서장,,,,8
WMMO000_위드미 스노우화이트닝너리싱밀크오일.xlsx,WMMO000,위드미 스노우 화이트닝 너리싱 밀크 오일,,Kg,,Kg,,,"결

재",담 당,부서장,*메인탱크에 투입시 100메쉬 여과 거칠 것,총소요시간,,9
WMMT001_위드미 하이드레이팅앰플미스트.xlsx,WMMT001,위드미 하이드레이팅 앰플 미스트,,Kg,,Kg,,,"결

재",담 당,부서장,,,,7
WMPK_위드미 어썸블랙포어클리어팩.xlsx,WMPK001,위드미 어썸블랙 포어 클리어 팩,,Kg,,Kg,,,"결

재",담 당,부서장,"*물보정에 유의한다. (2%내외)
*고온에서 진공잡지 말 것.
",총소요시간,"*피막제 용해는 패들의 속도보다는 고온과 시간에 좌우된다.
*부상후 내용물표면에 접하게 비닐커버 할 것. (2중 밀봉)",10
WMSC_위드미 누드앤쉬어선스틱.xlsx,WMSC002,위드미 누드앤쉬어 선스틱 컨트롤,,Kg,,Kg,,,"결

재",담 당,부서장,,,,7
WMSL001_위드미 옴므우디보이올인원스킨로션.xlsx,WMSL001,위드미 옴므 우디보이 올인원 스킨로션,,Kg,,Kg,,,"결

재",담 당,부서장,*메인탱크에 투입시 100메쉬 여과 거칠 것,총소요시간,,9
WMTN001_위드미 스노우화이트닝포어토너.xlsx,WMTN001,위드미 스노우 화이트닝 포어 토너,,Kg,,Kg,,,"결

재",담 당,부서장,,," - 실온 공정 (점증제 분산에만 열수 사용)
 - 점증제 분산 공정 특히 중요",10
WMTN002_위드미 판테스틱더마시카퓨리파잉토너.xlsx,WMTN002,위드미 판테스틱 더마 시카 퓨리파잉 토너,,Kg,,Kg,,,"결

재",담 당,부서장,  특히 동절기에 상온(30-35도)상태의 공정을 유지해야 투명하게 제조된다.,,,6
WMTP_위드미 펄브라이트토닝필.xlsx,WMTP000,위드미 펄 브라이트 토닝 필,,Kg,,Kg,,,"결

재",담 당,부서장,,총소요시간, * 첨부된 제조공정 모식도 참조할 것.,9
ZPDM_자코파네 섬유향수.xlsx,ZPDM_______,자코파네 섬유향수,,Kg,,Kg,,,"결

재",담 당,부서장,,,,2
