product_code,semi_product_code,step_num,step_type,step_name,step_desc,work_time,checker
SSBL004,,10,제조공정,부상,33℃까지 냉각하여 부상한다.,,
SSBL005,,10,제조공정,부상,33℃까지 냉각하여 부상한다.,,
SSBL006,,10,제조공정,부상,33℃까지 냉각하여 부상한다.,,
SSBL007,,10,제조공정,부상,33℃까지 냉각하여 부상한다.,,
SSBL008,,10,제조공정,부상,33℃까지 냉각하여 부상한다.,,
SSBL009,,10,제조공정,부상,33℃까지 냉각하여 부상한다.,,
SSBL001,,100,유의사항,작업자 유의사항,*메인탱크에 투입시 100메쉬 여과 거칠 것,,
SSBL002,,100,유의사항,작업자 유의사항,*메인탱크에 투입시 100메쉬 여과 거칠 것,,
SSBL003,,100,유의사항,작업자 유의사항,*메인탱크에 투입시 100메쉬 여과 거칠 것,,
SSBL004,,100,유의사항,작업자 유의사항,*메인탱크에 투입시 100메쉬 여과 거칠 것,,
SSBL005,,100,유의사항,작업자 유의사항,*메인탱크에 투입시 100메쉬 여과 거칠 것,,
SSBL006,,100,유의사항,작업자 유의사항,*메인탱크에 투입시 100메쉬 여과 거칠 것,,
SSBL007,,100,유의사항,작업자 유의사항,*메인탱크에 투입시 100메쉬 여과 거칠 것,,
SSBL008,,100,유의사항,작업자 유의사항,*메인탱크에 투입시 100메쉬 여과 거칠 것,,
SSBL009,,100,유의사항,작업자 유의사항,*메인탱크에 투입시 100메쉬 여과 거칠 것,,
SSCD001,,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
SSCD001~003,,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
SSCD002,,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
SSCD003,,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
SSCD001,,2,제조공정,가온용해,용해조에 11을 넣고 70-75℃로 가온용해한다,,
SSCD001~003,,2,제조공정,가온용해,용해조에 11을 넣고 70-75℃로 가온용해한다,,
SSCD002,,2,제조공정,가온용해,용해조에 11을 넣고 70-75℃로 가온용해한다,,
SSCD003,,2,제조공정,가온용해,용해조에 11을 넣고 70-75℃로 가온용해한다,,
SSCD001,,3,제조공정,"색소, 향
투입",색소와 향을 투입하여 교반한다.,,
SSCD001~003,,3,제조공정,"색소, 향
투입",색소와 향을 투입하여 교반한다.,,
SSCD002,,3,제조공정,"색소, 향
투입",색소와 향을 투입하여 교반한다.,,
SSCD003,,3,제조공정,"색소, 향
투입",색소와 향을 투입하여 교반한다.,,
SSCD001,,4,제조공정,충   전,50-60℃를 유지하며 용기에 충전한다.,,
SSCD001~003,,4,제조공정,충   전,50-60℃를 유지하며 용기에 충전한다.,,
SSCD002,,4,제조공정,충   전,50-60℃를 유지하며 용기에 충전한다.,,
SSCD003,,4,제조공정,충   전,50-60℃를 유지하며 용기에 충전한다.,,
SSHC001,,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
SSHC002,,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
SSHC003,,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
SSHC004,,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
SSHC005,,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
SSHC006,,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
SSHC008,,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
SSHC009,,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
SSHC001,,2,제조공정,"점증제
분산","별도용해조에서 정제수에 Natrosol 넣고 Stirrer로 용해한다. 
 (정제수는 열수 사용, 매끈하게 풀린지 확인할 것)",,
SSHC002,,2,제조공정,"점증제
분산","별도용해조에서 정제수에 Natrosol 넣고 Stirrer로 용해한다. 
 (정제수는 열수 사용, 매끈하게 풀린지 확인할 것)",,
SSHC003,,2,제조공정,"점증제
분산","별도용해조에서 정제수에 Natrosol 넣고 Stirrer로 용해한다. 
 (정제수는 열수 사용, 매끈하게 풀린지 확인할 것)",,
SSHC004,,2,제조공정,"점증제
분산","별도용해조에서 정제수에 Natrosol 넣고 Stirrer로 용해한다. 
 (정제수는 열수 사용, 매끈하게 풀린지 확인할 것)",,
SSHC005,,2,제조공정,"점증제
분산","별도용해조에서 정제수에 Natrosol 넣고 Stirrer로 용해한다. 
 (정제수는 열수 사용, 매끈하게 풀린지 확인할 것)",,
SSHC006,,2,제조공정,"점증제
분산","별도용해조에서 정제수에 Natrosol 넣고 Stirrer로 용해한다. 
 (정제수는 열수 사용, 매끈하게 풀린지 확인할 것)",,
SSHC008,,2,제조공정,"점증제
분산","별도용해조에서 정제수에 Natrosol 넣고 Stirrer로 용해한다. 
 (정제수는 열수 사용, 매끈하게 풀린지 확인할 것)",,
SSHC009,,2,제조공정,"점증제
분산","별도용해조에서 정제수에 Natrosol 넣고 Stirrer로 용해한다. 
 (정제수는 열수 사용, 매끈하게 풀린지 확인할 것)",,
SSHC001,,3,제조공정,"점증제
분산","별도용해조에서 정제수에 Carbopol 940 넣고 Stirrer로 
용해한다. 
 (정제수는 실온 사용, 매끈하게 풀린지 확인할 것)",,
SSHC002,,3,제조공정,"점증제
분산","별도용해조에서 정제수에 Carbopol 940 넣고 Stirrer로 
용해한다. 
 (정제수는 실온 사용, 매끈하게 풀린지 확인할 것)",,
SSHC003,,3,제조공정,"점증제
분산","별도용해조에서 정제수에 Carbopol 940 넣고 Stirrer로 
용해한다. 
 (정제수는 실온 사용, 매끈하게 풀린지 확인할 것)",,
SSHC004,,3,제조공정,"점증제
분산","별도용해조에서 정제수에 Carbopol 940 넣고 Stirrer로 
용해한다. 
 (정제수는 실온 사용, 매끈하게 풀린지 확인할 것)",,
SSHC005,,3,제조공정,"점증제
분산","별도용해조에서 정제수에 Carbopol 940 넣고 Stirrer로 
용해한다. 
 (정제수는 실온 사용, 매끈하게 풀린지 확인할 것)",,
SSHC006,,3,제조공정,"점증제
분산","별도용해조에서 정제수에 Carbopol 940 넣고 Stirrer로 
용해한다. 
 (정제수는 실온 사용, 매끈하게 풀린지 확인할 것)",,
SSHC008,,3,제조공정,"점증제
분산","별도용해조에서 정제수에 Carbopol 940 넣고 Stirrer로 
용해한다. 
 (정제수는 실온 사용, 매끈하게 풀린지 확인할 것)",,
SSHC009,,3,제조공정,"점증제
분산","별도용해조에서 정제수에 Carbopol 940 넣고 Stirrer로 
용해한다. 
 (정제수는 실온 사용, 매끈하게 풀린지 확인할 것)",,
SSHC001,,4,제조공정,수상 용해,수상용해조에 11**- 14**을 넣고 78-80℃로 가온용해한다,,
SSHC002,,4,제조공정,수상 용해,수상용해조에 11**- 14**을 넣고 78-80℃로 가온용해한다,,
SSHC003,,4,제조공정,수상 용해,수상용해조에 11**- 14**을 넣고 78-80℃로 가온용해한다,,
SSHC004,,4,제조공정,수상 용해,수상용해조에 11**- 14**을 넣고 78-80℃로 가온용해한다,,
SSHC005,,4,제조공정,수상 용해,수상용해조에 11**- 14**을 넣고 78-80℃로 가온용해한다,,
SSHC006,,4,제조공정,수상 용해,수상용해조에 11**- 14**을 넣고 78-80℃로 가온용해한다,,
SSHC008,,4,제조공정,수상 용해,수상용해조에 11**- 14**을 넣고 78-80℃로 가온용해한다,,
SSHC009,,4,제조공정,수상 용해,수상용해조에 11**- 14**을 넣고 78-80℃로 가온용해한다,,
SSHC001,,5,제조공정,유상 용해,유상용해조에 21**- 22**를 넣고  78-80℃로 가온용해한다,,
SSHC002,,5,제조공정,유상 용해,유상용해조에 21**- 22**를 넣고  78-80℃로 가온용해한다,,
SSHC003,,5,제조공정,유상 용해,유상용해조에 21**- 22**를 넣고  78-80℃로 가온용해한다,,
SSHC004,,5,제조공정,유상 용해,유상용해조에 21**- 22**를 넣고  78-80℃로 가온용해한다,,
SSHC005,,5,제조공정,유상 용해,유상용해조에 21**- 22**를 넣고  78-80℃로 가온용해한다,,
SSHC006,,5,제조공정,유상 용해,유상용해조에 21**- 22**를 넣고  78-80℃로 가온용해한다,,
SSHC008,,5,제조공정,유상 용해,유상용해조에 21**- 22**를 넣고  78-80℃로 가온용해한다,,
SSHC009,,5,제조공정,유상 용해,유상용해조에 21**- 22**를 넣고  78-80℃로 가온용해한다,,
SSHC001,,6,제조공정,1차유화,"메인탱크로 수상, 유상 순서로 이송후 유화한다
( Homo: 3500rpm, P:20rpm, T: 78-80℃  t: 3분 )",,
SSHC002,,6,제조공정,1차유화,"메인탱크로 수상, 유상 순서로 이송후 유화한다
( Homo: 3500rpm, P:20rpm, T: 78-80℃  t: 3분 )",,
SSHC003,,6,제조공정,1차유화,"메인탱크로 수상, 유상 순서로 이송후 유화한다
( Homo: 3500rpm, P:20rpm, T: 78-80℃  t: 3분 )",,
SSHC004,,6,제조공정,1차유화,"메인탱크로 수상, 유상 순서로 이송후 유화한다
( Homo: 3500rpm, P:20rpm, T: 78-80℃  t: 3분 )",,
SSHC005,,6,제조공정,1차유화,"메인탱크로 수상, 유상 순서로 이송후 유화한다
( Homo: 3500rpm, P:20rpm, T: 78-80℃  t: 3분 )",,
SSHC006,,6,제조공정,1차유화,"메인탱크로 수상, 유상 순서로 이송후 유화한다
( Homo: 3500rpm, P:20rpm, T: 78-80℃  t: 3분 )",,
SSHC008,,6,제조공정,1차유화,"메인탱크로 수상, 유상 순서로 이송후 유화한다
( Homo: 3500rpm, P:20rpm, T: 78-80℃  t: 3분 )",,
SSHC009,,6,제조공정,1차유화,"메인탱크로 수상, 유상 순서로 이송후 유화한다
( Homo: 3500rpm, P:20rpm, T: 78-80℃  t: 3분 )",,
SSHC001,,7,제조공정,2차유화,"메인탱크로 31** 이송후 유화한다
( Homo: 3500rpm, P:20rpm, T: 70-75℃  t: 5분 )",,
SSHC002,,7,제조공정,2차유화,"메인탱크로 31** 이송후 유화한다
( Homo: 3500rpm, P:20rpm, T: 70-75℃  t: 5분 )",,
SSHC003,,7,제조공정,2차유화,"메인탱크로 31** 이송후 유화한다
( Homo: 3500rpm, P:20rpm, T: 70-75℃  t: 5분 )",,
SSHC004,,7,제조공정,2차유화,"메인탱크로 31** 이송후 유화한다
( Homo: 3500rpm, P:20rpm, T: 70-75℃  t: 5분 )",,
SSHC005,,7,제조공정,2차유화,"메인탱크로 31** 이송후 유화한다
( Homo: 3500rpm, P:20rpm, T: 70-75℃  t: 5분 )",,
SSHC006,,7,제조공정,2차유화,"메인탱크로 31** 이송후 유화한다
( Homo: 3500rpm, P:20rpm, T: 70-75℃  t: 5분 )",,
SSHC008,,7,제조공정,2차유화,"메인탱크로 31** 이송후 유화한다
( Homo: 3500rpm, P:20rpm, T: 70-75℃  t: 5분 )",,
SSHC009,,7,제조공정,2차유화,"메인탱크로 31** 이송후 유화한다
( Homo: 3500rpm, P:20rpm, T: 70-75℃  t: 5분 )",,
SSHC001,,8,제조공정,냉각탈포,"60℃로 냉각, 탈포한다",,
SSHC002,,8,제조공정,냉각탈포,"60℃로 냉각, 탈포한다",,
SSHC003,,8,제조공정,냉각탈포,"60℃로 냉각, 탈포한다",,
SSHC004,,8,제조공정,냉각탈포,"60℃로 냉각, 탈포한다",,
SSHC005,,8,제조공정,냉각탈포,"60℃로 냉각, 탈포한다",,
SSHC006,,8,제조공정,냉각탈포,"60℃로 냉각, 탈포한다",,
SSHC008,,8,제조공정,냉각탈포,"60℃로 냉각, 탈포한다",,
SSHC009,,8,제조공정,냉각탈포,"60℃로 냉각, 탈포한다",,
SSHC001,,9,제조공정,"향, 첨가제
투입","41**, 51**, 61**을 투입교반하고, 냉각,탈포한다",,
SSHC002,,9,제조공정,"향, 첨가제
투입","41**, 51**, 61**을 투입교반하고, 냉각,탈포한다",,
SSHC003,,9,제조공정,"향, 첨가제
투입","41**, 51**, 61**을 투입교반하고, 냉각,탈포한다",,
SSHC004,,9,제조공정,"향, 첨가제
투입","41**, 51**, 61**을 투입교반하고, 냉각,탈포한다",,
SSHC005,,9,제조공정,"향, 첨가제
투입","41**, 51**, 61**을 투입교반하고, 냉각,탈포한다",,
SSHC006,,9,제조공정,"향, 첨가제
투입","41**, 51**, 61**을 투입교반하고, 냉각,탈포한다",,
SSHC008,,9,제조공정,"향, 첨가제
투입","41**, 51**, 61**을 투입교반하고, 냉각,탈포한다",,
SSHC009,,9,제조공정,"향, 첨가제
투입","41**, 51**, 61**을 투입교반하고, 냉각,탈포한다",,
SSHC001,,10,제조공정,부상,33℃까지 냉각하여 부상한다.,,
SSHC002,,10,제조공정,부상,33℃까지 냉각하여 부상한다.,,
SSHC003,,10,제조공정,부상,33℃까지 냉각하여 부상한다.,,
SSHC004,,10,제조공정,부상,33℃까지 냉각하여 부상한다.,,
SSHC005,,10,제조공정,부상,33℃까지 냉각하여 부상한다.,,
SSHC006,,10,제조공정,부상,33℃까지 냉각하여 부상한다.,,
SSHC008,,10,제조공정,부상,33℃까지 냉각하여 부상한다.,,
SSHC009,,10,제조공정,부상,33℃까지 냉각하여 부상한다.,,
SSHC001,,100,유의사항,작업자 유의사항,*메인탱크에 투입시 100메쉬 여과 거칠 것,,
SSHC002,,100,유의사항,작업자 유의사항,*메인탱크에 투입시 100메쉬 여과 거칠 것,,
SSHC003,,100,유의사항,작업자 유의사항,*메인탱크에 투입시 100메쉬 여과 거칠 것,,
SSHC004,,100,유의사항,작업자 유의사항,*메인탱크에 투입시 100메쉬 여과 거칠 것,,
SSHC005,,100,유의사항,작업자 유의사항,*메인탱크에 투입시 100메쉬 여과 거칠 것,,
SSHC006,,100,유의사항,작업자 유의사항,*메인탱크에 투입시 100메쉬 여과 거칠 것,,
SSHC008,,100,유의사항,작업자 유의사항,*메인탱크에 투입시 100메쉬 여과 거칠 것,,
SSHC009,,100,유의사항,작업자 유의사항,*메인탱크에 투입시 100메쉬 여과 거칠 것,,
SSSR001,,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
SSSR002,,1,제조공정,"청결상태 
점     검","작업전 제조설비 및 기구 세척상태를 확인하고, 칭량의뢰서와 원료 수량을 비교 확인한 후 인수한다.",,
