product_code,management_code,korean_name,english_name,appearance,packaging_unit,created_date,author,usage_instructions,allergen_korean,allergen_english,storage_method,shelf_life,label_volume,fill_volume,specific_gravity,ph_standard,viscosity_standard,raw_material_report,standardized_name,responsible_seller,recycling_grade,label_position,functional_claim,semi_product_code,p_product_code,source_file
JOHC003,EVCO-1020,제이온 스네일 데일리 핸드크림,J:ON Snail Daily Hand Cream,백색 크림상,100 mL,2019-11-28,신 혜 정,손을 씻은 후나 건조할 때마다 적당량을 덜어 부드럽게 펴 발라 흡수시켜 주세요.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,100ml,98,0.978,,,0,0,0,우수,,,BJOHC0030,PJOHC0030,제품표준서_EVCO1020_(JOHC003)-제이온 스네일 데일리 핸드크림.xls
JOFT003,EVCO-1021,제이온 스네일 데일리 풋크림,J:ON Snail Daily Foot Cream,백색 크림상,100 mL,2019-11-28,신 혜 정,"적당략을 손바닥에 덜어 발 전체에 골고루 펴 바릅니다. 특히, 건조함이 심한 발뒤꿈치 같은 부위에 집중적으로 발라 주면 더욱 효과적이며 매일 사용하면 피부를 부드럽게 하는데 도움이 됩니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,100ml,100,0.992,,,0,0,0,우수,,,BJOFT0030,PJOFT0030,제품표준서_EVCO1021_(JOFT003)-제이온 스네일 데일리 풋크림.xls
PDML001,EVCO-1022,페디슨 뉴트리티브 인퓨전 모이스처 로션,PEDISON Nutritive Infusion Moisture Lotion,백색 크림상,500 mL,2019-12-09,신 혜 정,물기가 없는 피부에 골고루 도포 후 부드럽게 롤링하여 흡수시켜 줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,500ml,492,0.984,,,0,0,0,어려움,,,BPDML0010,PPDML0010,제품표준서_EVCO1022_(PDML001)-페디슨 뉴트리티브 인퓨전 모이스처 로션.xls
BTBC003,EVCO-1023,바스파 아로마 라운지 로얄허니 바디 워시,BATHPA Aroma Lounge Royal Honey Body Wash,무색 투명 점액상,300 mL,2019-12-14,신 혜 정,적당량을 샤워용 스펀지나 타올에 묻혀 거품을 낸 다음 전신에 마사지하듯 고루 문지른 후 물로 깨끗이 씻어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,300ml,306,1.018,,,0,0,0,어려움,,,,,제품표준서_EVCO1023_(BTBC003)-바스파 아로마 라운지 로얄허니 바디 워시.xls
BTBL003,EVCO-1024,바스파 아로마 라운지 로얄허니 바디 에멀젼,BATHPA Aroma Lounge Royal Honey Body Emulsion,백색 로션상,300 mL,2019-12-14,신 혜 정,샤워 후 적당량을 덜어 전신에 마사지 하듯이 부드럽게 펴 발라줍니다. 취침 전이나 건조할 때 마다 수시로 바르면 더욱 효과적 입니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,300ml,296,0.958,,,0,0,0,어려움,,,,,제품표준서_EVCO1024_(BTBL003)-바스파 아로마 라운지 로얄허니 바디 에멀젼.xls
MLHC006,EVCO-1025,"미미로린스 모먼트 플랜트 핸드크림-헤이, 그린","Mimi Lauryne's Moment Plant Hand Cream-Hey, Green",녹색의 크림상,500 mL,2019-12-30,신 혜 정,"손을 씻은 후 , 건조함이 느껴질 때마다 적당량을 덜어 부드럽게 롤링하면서 흡수시켜줍니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,500ml,490,0.992,6.0 ± 1.0,"25,000 ± 5,000",0,0,0,어려움,상단 2.5cm,,BMLHC0060,PMLHC0060,"제품표준서_EVCO1025_(MLHC006)-미미로린스 모먼트 플랜트 핸드크림-헤이, 그린.xls"
MLHC007,EVCO-1026,미미로린스 모먼트 플랜트 핸드크림-베리 비트,Mimi Lauryne's Moment Plant Hand Cream-Berry Beet,분홍색의 크림상,500 mL,2019-12-30,신 혜 정,"손을 씻은 후 , 건조함이 느껴질 때마다 적당량을 덜어 부드럽게 롤링하면서 흡수시켜줍니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,500ml,490,0.992,6.0 ± 1.0,"25,000 ± 5,000",0,0,0,어려움,상단 2.5cm,,BMLHC0070,PMLHC0070,제품표준서_EVCO1026_(MLHC007)-미미로린스 모먼트 플랜트 핸드크림-베리 비트.xls
MLHC008,EVCO-1027,미미로린스 모먼트 플랜트 핸드크림-해피 텐져린,Mimi Lauryne's Moment Plant Hand Cream-Happy Tangerine,황색의 크림상,500 mL,2019-12-30,신 혜 정,"손을 씻은 후 , 건조함이 느껴질 때마다 적당량을 덜어 부드럽게 롤링하면서 흡수시켜줍니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,500ml,490,0.992,6.0 ± 1.0,"25,000 ± 5,000",0,0,0,어려움,상단 2.5cm,,BMLHC0080,PMLHC0080,제품표준서_EVCO1027_(MLHC008)-미미로린스 모먼트 플랜트 핸드크림-해피 텐져린.xls
PTPW001,EVCO-1028,판테스틱 더마 시카 파우더,PANTHESTIC Derma Cica Powder,백색의 가루,7 g,2020-01-06,신 혜 정,기초 마무리 단계에서 내용물을 덜어내어 고민 부위를 중심으로 얹어줍니다. 기초 제품과 섞어 피부에 흡수시켜줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년(개봉후 12개월),7g,7,,,,0,0,0,어려움,,,,PPTPW0010,제품표준서_EVCO1028_(PTPW001)-판테스틱 더마 시카 파우더.xls
PTPW002,EVCO-1029,판테스틱 더마 비타 파우더,PANTHESTIC Derma Vita Powder,백색의 가루,7 g,2020-01-06,신 혜 정,기초 마무리 단계에서 내용물을 덜어내어 고민 부위를 중심으로 얹어줍니다. 기초 제품과 섞어 피부에 흡수시켜줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년(개봉후 12개월),7g,7,,,,0,0,0,어려움,,,,PPTPW0020,제품표준서_EVCO1029_(PTPW002)-판테스틱 더마 비타 파우더.xls
MLHC014,EVCO-1030,미미로린스 모먼트 핸드크림-뮤즈,Mimi Laurynes Moment Hand Cream-Muse,백색의 크림상,60 mL,2020-03-10,신 혜 정,적당량을 덜어 손에 부드럽게 도포 후 충분히 흡수시켜줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,60ml,59,0.985,6.5 ± 1.0,"45,000 ± 5,000",0,0,0,,,,BMLHC0140,PMLHC0140,제품표준서_EVCO1030_(MLHC014)-미미로린스 모먼트 핸드크림-뮤즈.xls
MLHC015,EVCO-1031,미미로린스 모먼트 핸드크림-멜리플루어스,Mimi Laurynes Moment Hand Cream-Mellifluous,백색의 크림상,60 mL,2020-03-10,신 혜 정,적당량을 덜어 손에 부드럽게 도포 후 충분히 흡수시켜줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,60ml,59,0.985,6.5 ± 1.0,"45,000 ± 5,000",0,0,0,,,,BMLHC0150,PMLHC0150,제품표준서_EVCO1031_(MLHC015)-미미로린스 모먼트 핸드크림-멜리플루어스.xls
MLHC016,EVCO-1032,미미로린스 모먼트 핸드크림-스칼렛,Mimi Laurynes Moment Hand Cream-Scarlet,백색의 크림상,60 mL,2020-03-10,신 혜 정,적당량을 덜어 손에 부드럽게 도포 후 충분히 흡수시켜줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,60ml,59,0.985,6.5 ± 1.0,"45,000 ± 5,000",0,0,0,,,,BMLHC0160,PMLHC0160,제품표준서_EVCO1032_(MLHC016)-미미로린스 모먼트 핸드크림-스칼렛.xls
MLHC017,EVCO-1033,미미로린스 모먼트 핸드크림-가드니아,Mimi Laurynes Moment Hand Cream-Gardenia,백색의 크림상,60 mL,2020-03-10,신 혜 정,적당량을 덜어 손에 부드럽게 도포 후 충분히 흡수시켜줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,60ml,59,0.985,6.5 ± 1.0,"45,000 ± 5,000",0,0,0,,,,BMLHC0170,PMLHC0170,제품표준서_EVCO1033_(MLHC017)-미미로린스 모먼트 핸드크림-가드니아.xls
PTFC001,EVCO-1034,판테스틱 더마 시카 아크네 클렌징 폼,PANTHESTIC Derma Cica Acne Cleansing Foam,백색의 크림상,140 mL,2020-05-25,신 혜 정,적당량의 내용물을 취해 충분히 거품을 낸 후 얼굴을 마사지 하듯 미온수로 충분히 헹구어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,140ml,130,0.904,5.8 ± 1.0,80 ± 15,0,0,0,우수,,여드름,BPTFC0010,PPTFC0010,제품표준서_EVCO1034_(PTFC001)-판테스틱 더마 시카 아크네 클렌징 폼.xls
VMSS001,EVCO-1035,밸르모나 얼쓰 테라피 스칼프 스켈러,VALMONA Earth Therapy Scalp Scaler,녹색의 점액상,15ml,2020-04-06,신 혜 정,주 1~2회 샴푸 마지막 단계에서 젖은 두피에 고르게 도포하여 손 끝을 이용해 2분간 가볍게 마사지 후 미온수로 클렌징 해줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,15ml,16,1.029,,,0,0,0,우수,,,BVMSS0010,PVMSS0010,제품표준서_EVCO1035_(VMSS001)-밸르모나 얼쓰 테라피 스칼프 스켈러.xls
VMBA001,EVCO-1036,밸르모나 얼쓰 리페어 본딩 앰플,VALMONA Earth Repair Bonding Ampoule,백색의 로션상,15 mL,2020-04-07,신 혜 정,"타올 드라이 후, 모발 끝부터 시작하여 손상된 모발에 고르게 도포합니다. 헹구어내지 않는 리브인타입의 앰플입니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,15ml,15,0.986,,,0,0,0,우수,,,BVMBA0010,PVMBA0010,제품표준서_EVCO1036_(VMBA001 )-밸르모나 얼쓰 리페어 본딩 앰플.xls
VMSF001,EVCO-1037,밸르모나 얼쓰 테라피 스칼프 퓨리파이어,VALMONA Earth Therapy Scalp Purifier,황색의 투명 점액상,25 mL,2020-04-01,신 혜 정,샴푸 후 씻어낼 필요 없이 젖은 두피에 고르게 도포하고 손가락 끝으로 가볍게 두드리듯 마사지하여 흡수시켜 줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,25ml,24,0.965,,,0,0,0,,,,BVMSF0010,PVMSF0010,제품표준서_EVCO1037_(VMSF001)-밸르모나 얼쓰 테라피 스칼프 퓨리파이어.xls
BDFD001,EVCO-1038,보르도 민트 쿨링 풋 데오드란트,BORDO Mint Cooling Foot Deodorant,유백색 액상,80 ml,2020-04-08,신 혜 정,사용 전 충분히 흔들어 20cm 정도 떨어진 곳에서 분사합니다. 발을 씻은 후 물기를 제거하고 뿌려주세요. 땀과 냄새가 신경쓰일 때 수시로 뿌려주세요.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,80ml,-,1.045,,,0,0,0,,,,BBDFD0010,PBDFD0010,제품표준서_EVCO1038_(BDFD001)-보르도 민트 쿨링 풋 데오드란트.xls
PTEF001,EVCO-1039,판테스틱 원더필 하이드라 뮤신 이펙터,PANTHESTIC Wonderfill Hydra Mucin Effector,무색 투명 점액상,35 mL,2020-04-20,신 혜 정,어플리케이터를 이용해 본 품 적당량을 취한 뒤 피부에 골고루 펴 발라줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년(개봉 후 6개월),35ml,,1.032,,,0,0,0,어려움,,,BPTEF0010,PPTEF0010,제품표준서_EVCO1039_(PTEF001)-판테스틱 원더필 하이드라 뮤신 이펙터.xls
PTEF002,EVCO-1040,판테스틱 원더필 써마필 이펙터,PANTHESTIC Wonderfill Thermapill Effector,붉은색 투명 점액상,35 mL,2020-04-20,신 혜 정,어플리케이터를 이용해 본 품 적당량을 취한 뒤 피부에 골고루 펴 발라줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년(개봉 후 6개월),35ml,,1.021,,,0,0,0,어려움,,,BPTEF0020,PPTEF0020,제품표준서_EVCO1040_(PTEF002)-판테스틱 원더필 써마필 이펙터.xls
PTEF003,EVCO-1041,판테스틱 원더필 클리어링 이펙터,PANTHESTIC Wonderfill Clearing Effector,미색 투명 액상,35 mL,2020-04-20,신 혜 정,어플리케이터를 이용해 본 품 적당량을 취한 뒤 피부에 골고루 펴 발라줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년(개봉 후 6개월),35ml,,1.006,,,0,0,0,어려움,,,BPTEF0030,PPTEF0030,제품표준서_EVCO1041_(PTEF003)-판테스틱 원더필 클리어링 이펙터.xls
BTMD001,EVCO-1042,바스파 아로마 라운지 무드 퍼퓸 드레스 미스트,BATHPA Aroma Lounge Mood Perfume Dress Mist No1. Cosy Wood,무색 투명 액상,300 mL,2020-05-11,신 혜 정,"탈취가 필요한 섬유나 침구, 옷장, 자동차 안 등 다양한 공간에 가볍게 분사해주세요.",,,제조일로부터 3년 (제조일자 표기),별첨.4,,,,,,,,,,,,,,제품표준서_EVCO1042_(BTDM001)-바스파 아로마 라운지 무드 퍼퓸 드레스 미스트.xls
